Project Name,Package Name,Architecture Smell,Cause of the Smell
santuario-java-1.5.2,org.apache.jcp.xml.dsig.internal.dom,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 68
santuario-java-1.5.2,org.apache.xml.security.algorithms,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.xml.security.encryption; org.apache.xml.security.keys; org.apache.xml.security.keys.content.keyvalues; org.apache.xml.security.utils; org.apache.xml.security.c14n; org.apache.xml.security.c14n.implementations; org.apache.xml.security.signature; org.apache.xml.security; org.apache.xml.security.transforms; org.apache.xml.security.transforms.implementations; org.apache.xml.security.transforms.params; org.apache.xml.security.algorithms; org.apache.xml.security.keys.keyresolver.implementations; org.apache.xml.security.keys.content; org.apache.xml.security.keys.content.x509; org.apache.xml.security.algorithms.implementations
santuario-java-1.5.2,org.apache.xml.security.algorithms,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.xml.security.encryption; org.apache.xml.security.algorithms.implementations
santuario-java-1.5.2,org.apache.xml.security.algorithms,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Algorithm; JCEMapper; MessageDigestAlgorithm; SignatureAlgorithm; SignatureAlgorithmSpi]; [Algorithm]. LCC (Lack of Component Cohesion) = 0.33
santuario-java-1.5.2,org.apache.xml.security.algorithms.implementations,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [IntegrityHmac; IntegrityHmacSHA1; IntegrityHmacSHA256; IntegrityHmacSHA384; IntegrityHmacSHA512; IntegrityHmacRIPEMD160; IntegrityHmacMD5]; [SignatureBaseRSA; SignatureRSASHA1; SignatureRSASHA256; SignatureRSASHA384; SignatureRSASHA512; SignatureRSARIPEMD160; SignatureRSAMD5]; [SignatureDSA]; [SignatureECDSA; SignatureECDSASHA1; SignatureECDSASHA256; SignatureECDSASHA384; SignatureECDSASHA512]. LCC (Lack of Component Cohesion) = 0.2
santuario-java-1.5.2,org.apache.xml.security.c14n,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.xml.security.c14n.implementations
santuario-java-1.5.2,org.apache.xml.security.encryption,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 37
santuario-java-1.5.2,org.apache.xml.security.encryption,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.xml.security.keys.keyresolver.implementations
santuario-java-1.5.2,org.apache.xml.security,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.xml.security.transforms
santuario-java-1.5.2,org.apache.xml.security.keys.content,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.xml.security.keys.content.keyvalues
santuario-java-1.5.2,org.apache.xml.security.keys,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.xml.security.keys.content; org.apache.xml.security.keys.content.keyvalues; org.apache.xml.security.encryption
santuario-java-1.5.2,org.apache.xml.security.keys.keyresolver.implementations,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DSAKeyValueResolver]; [EncryptedKeyResolver]; [PrivateKeyResolver]; [RetrievalMethodResolver]; [RSAKeyValueResolver]; [SecretKeyResolver]; [SingleKeyResolver]; [X509CertificateResolver]; [X509IssuerSerialResolver]; [X509SKIResolver]; [X509SubjectNameResolver]. LCC (Lack of Component Cohesion) = 1.0
santuario-java-1.5.2,org.apache.xml.security.keys.storage.implementations,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CertsInFilesystemDirectoryResolver; FilesystemIterator]; [KeyStoreResolver; KeyStoreIterator]; [SingleCertificateResolver; InternalIterator]. LCC (Lack of Component Cohesion) = 0.5
santuario-java-1.5.2,org.apache.xml.security.signature,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.xml.security.transforms; org.apache.xml.security.algorithms; org.apache.xml.security.transforms.params; org.apache.xml.security.c14n; org.apache.xml.security.keys; org.apache.xml.security.keys.content; org.apache.xml.security.c14n.implementations
santuario-java-1.5.2,org.apache.xml.security.transforms.implementations,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FuncHere]; [TransformBase64Decode]; [TransformC14N]; [TransformC14N11]; [TransformC14N11_WithComments]; [TransformC14NExclusive]; [TransformC14NExclusiveWithComments]; [TransformC14NWithComments]; [TransformEnvelopedSignature; EnvelopedNodeFilter]; [TransformXPath; XPathNodeFilter]; [TransformXPath2Filter; XPath2NodeFilter]; [TransformXPointer]; [TransformXSLT]. LCC (Lack of Component Cohesion) = 0.81
santuario-java-1.5.2,org.apache.xml.security.transforms,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.xml.security.transforms.implementations
santuario-java-1.5.2,org.apache.xml.security.transforms,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [InvalidTransformException; Transform; TransformationException; Transforms; TransformSpi]; [TransformParam]. LCC (Lack of Component Cohesion) = 0.33
santuario-java-1.5.2,org.apache.xml.security.utils,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.xml.security.algorithms; org.apache.xml.security; org.apache.xml.security.transforms.implementations; org.apache.xml.security.c14n
santuario-java-1.5.2,org.apache.xml.security.utils,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Base64; ElementProxy; EncryptionConstants; EncryptionElementProxy; HelperNodeList; I18n; SignatureElementProxy; UnsyncByteArrayOutputStream; XMLUtils; Constants; ElementChecker; ElementCheckerImpl; InternedNsChecker; FullChecker; EmptyChecker; JavaUtils]; [ClassLoaderUtils]; [DigesterOutputStream]; [DOMNamespaceContext; JDKXPathAPI; JDKXPathFactory; XPathAPI; XPathFactory; XalanXPathAPI; XalanXPathFactory]; [IdResolver]; [IgnoreAllErrorHandler]; [RFC2253Parser]; [SignerOutputStream]; [UnsyncBufferedOutputStream]. LCC (Lack of Component Cohesion) = 0.3
santuario-java-1.5.2,javax.xml.crypto.test.dsig,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 60
