Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.hook,FalconHookIT,testReplicationFeed,Long Statement,The length of the statement "String inId=atlasClient.getEntity(FalconDataTypes.FALCON_FEED.getName()`AtlasClient.REFERENCEABLE_ATTRIBUTE_NAME`FalconBridge.getFeedQualifiedName(feed.getName()`srcCluster.getName())).getId()._getId();" is 202.
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.hook,FalconHookIT,testReplicationFeed,Long Statement,The length of the statement "String outId=atlasClient.getEntity(FalconDataTypes.FALCON_FEED.getName()`AtlasClient.REFERENCEABLE_ATTRIBUTE_NAME`FalconBridge.getFeedQualifiedName(feed.getName()`targetCluster.getName())).getId()._getId();" is 206.
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.hook,FalconHookIT,testReplicationFeed,Long Statement,The length of the statement "String processId=assertEntityIsRegistered(FalconDataTypes.FALCON_FEED_REPLICATION.getName()`AtlasClient.REFERENCEABLE_ATTRIBUTE_NAME`feed.getName());" is 149.
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.hook,FalconHookIT,testCreateProcessWithHDFSFeed,Long Statement,The length of the statement "String outfeedId=atlasClient.getEntity(FalconDataTypes.FALCON_FEED.getName()`AtlasClient.REFERENCEABLE_ATTRIBUTE_NAME`FalconBridge.getFeedQualifiedName(outfeed.getName()`cluster.getName())).getId()._getId();" is 207.
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.hook,FalconHookIT,testCreateProcessWithHDFSFeed,Long Statement,The length of the statement "assertEquals(processEntity.get(AtlasClient.REFERENCEABLE_ATTRIBUTE_NAME)`FalconBridge.getProcessQualifiedName(process.getName()`cluster.getName()));" is 148.
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.hook,FalconHookIT,assertEntityIsRegistered,Magic Number,The method contains a magic number: 80000
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.hook,FalconHookIT,waitFor,Magic Number,The method contains a magic number: 400
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.model,FalconDataModelGenerator,getTypesDef,Long Statement,The length of the statement "return TypesUtil.getTypesDef(ImmutableList.<EnumTypeDefinition>of()`ImmutableList.<StructTypeDefinition>of()`getTraitTypeDefinitions()`getClassTypeDefinitions());" is 162.
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.model,FalconDataModelGenerator,createClusterEntityClass,Long Statement,The length of the statement "AttributeDefinition[] attributeDefinitions=new AttributeDefinition[]{new AttributeDefinition(COLO`DataTypes.STRING_TYPE.getName()`Multiplicity.REQUIRED`false`false`true`null)`new AttributeDefinition(TAGS`DataTypes.mapTypeName(DataTypes.STRING_TYPE.getName()`DataTypes.STRING_TYPE.getName())`Multiplicity.OPTIONAL`false`null)};" is 326.
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.model,FalconDataModelGenerator,createClusterEntityClass,Long Statement,The length of the statement "HierarchicalTypeDefinition<ClassType> definition=new HierarchicalTypeDefinition<>(ClassType.class`FalconDataTypes.FALCON_CLUSTER.getName()`null`ImmutableSet.of(AtlasClient.INFRASTRUCTURE_SUPER_TYPE)`attributeDefinitions);" is 221.
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.model,FalconDataModelGenerator,createFeedCreationEntityClass,Long Statement,The length of the statement "AttributeDefinition[] attributeDefinitions=new AttributeDefinition[]{new AttributeDefinition(STOREDIN`FalconDataTypes.FALCON_CLUSTER.getName()`Multiplicity.REQUIRED`false`false`true`null)};" is 189.
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.model,FalconDataModelGenerator,createFeedCreationEntityClass,Long Statement,The length of the statement "HierarchicalTypeDefinition<ClassType> definition=new HierarchicalTypeDefinition<>(ClassType.class`FalconDataTypes.FALCON_FEED_CREATION.getName()`null`ImmutableSet.of(AtlasClient.PROCESS_SUPER_TYPE)`attributeDefinitions);" is 220.
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.model,FalconDataModelGenerator,createFeedEntityClass,Long Statement,The length of the statement "AttributeDefinition[] attributeDefinitions=new AttributeDefinition[]{TypesUtil.createRequiredAttrDef(FREQUENCY`DataTypes.STRING_TYPE)`new AttributeDefinition(STOREDIN`FalconDataTypes.FALCON_CLUSTER.getName()`Multiplicity.REQUIRED`false`false`true`null)`new AttributeDefinition(GROUPS`DataTypes.STRING_TYPE.getName()`Multiplicity.OPTIONAL`false`null)`new AttributeDefinition(TAGS`DataTypes.mapTypeName(DataTypes.STRING_TYPE.getName()`DataTypes.STRING_TYPE.getName())`Multiplicity.OPTIONAL`false`null)};" is 501.
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.model,FalconDataModelGenerator,createFeedEntityClass,Long Statement,The length of the statement "HierarchicalTypeDefinition<ClassType> definition=new HierarchicalTypeDefinition<>(ClassType.class`FalconDataTypes.FALCON_FEED.getName()`null`ImmutableSet.of(AtlasClient.DATA_SET_SUPER_TYPE)`attributeDefinitions);" is 212.
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.model,FalconDataModelGenerator,createReplicationFeedEntityClass,Long Statement,The length of the statement "HierarchicalTypeDefinition<ClassType> definition=new HierarchicalTypeDefinition<>(ClassType.class`FalconDataTypes.FALCON_FEED_REPLICATION.getName()`null`ImmutableSet.of(AtlasClient.PROCESS_SUPER_TYPE)`null);" is 207.
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.model,FalconDataModelGenerator,createProcessEntityClass,Long Statement,The length of the statement "AttributeDefinition[] attributeDefinitions=new AttributeDefinition[]{TypesUtil.createRequiredAttrDef(FREQUENCY`DataTypes.STRING_TYPE)`new AttributeDefinition(RUNSON`FalconDataTypes.FALCON_CLUSTER.getName()`Multiplicity.REQUIRED`false`false`true`null)`new AttributeDefinition(TAGS`DataTypes.mapTypeName(DataTypes.STRING_TYPE.getName()`DataTypes.STRING_TYPE.getName())`Multiplicity.OPTIONAL`false`null)`new AttributeDefinition(PIPELINES`DataTypes.STRING_TYPE.getName()`Multiplicity.OPTIONAL`false`false`true`null)`new AttributeDefinition(WFPROPERTIES`DataTypes.mapTypeName(DataTypes.STRING_TYPE.getName()`DataTypes.STRING_TYPE.getName())`Multiplicity.OPTIONAL`false`null)};" is 671.
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.model,FalconDataModelGenerator,createProcessEntityClass,Long Statement,The length of the statement "HierarchicalTypeDefinition<ClassType> definition=new HierarchicalTypeDefinition<>(ClassType.class`FalconDataTypes.FALCON_PROCESS.getName()`null`ImmutableSet.of(AtlasClient.PROCESS_SUPER_TYPE)`attributeDefinitions);" is 214.
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.model,FalconDataModelGenerator,main,Long Statement,The length of the statement "System.out.println(String.format("%s(%s) - values %s"`enumType.name`EnumType.class.getSimpleName()`Arrays.toString(enumType.enumValues)));" is 138.
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.model,FalconDataModelGenerator,main,Long Statement,The length of the statement "System.out.println(String.format("%s(%s) - attributes %s"`structType.typeName`StructType.class.getSimpleName()`Arrays.toString(structType.attributeDefinitions)));" is 162.
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.model,FalconDataModelGenerator,main,Long Statement,The length of the statement "System.out.println(String.format("%s(%s) - super types [%s] - attributes %s"`classType.typeName`ClassType.class.getSimpleName()`StringUtils.join(classType.superTypes`"`")`Arrays.toString(classType.attributeDefinitions)));" is 221.
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.model,FalconDataModelGenerator,main,Long Statement,The length of the statement "System.out.println(String.format("%s(%s) - %s"`traitType.typeName`TraitType.class.getSimpleName()`Arrays.toString(traitType.attributeDefinitions)));" is 148.
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.service,AtlasService,onAdd,Missing default,The following switch statement is missing a default case: switch (entityType) {
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.service,AtlasService,initialize,Long Identifier,The length of the field ATLAS_FALCON_HOOK_IMPL_CLASSNAME is 32.
atlas-release-0.7.1-rc3,org.apache.atlas.falcon.Util,EventUtil,getUser,Empty catch clause,The method has an empty catch block.
atlas-release-0.7.1-rc3,org.apache.atlas.hive.bridge,HiveMetaStoreBridge,importTables,Long Statement,The length of the statement "LOG.error("Able to import {} tables out of {} tables from {}. Please check logs for import errors"`tablesImported`hiveTables.size()`databaseName);" is 146.
atlas-release-0.7.1-rc3,org.apache.atlas.hive.bridge,HiveMetaStoreBridge,getTableQualifiedName,Magic Number,The method contains a magic number: 10
atlas-release-0.7.1-rc3,org.apache.atlas.hive.bridge,HiveMetaStoreBridge,createOrUpdateTableInstance,Long Statement,The length of the statement "Referenceable sdReferenceable=fillStorageDesc(hiveTable.getSd()`tableQualifiedName`getStorageDescQFName(tableQualifiedName)`tableReference.getId());" is 148.
atlas-release-0.7.1-rc3,org.apache.atlas.hive.bridge,HiveMetaStoreBridge,getColumns,Long Statement,The length of the statement "colReferenceable.set(AtlasClient.REFERENCEABLE_ATTRIBUTE_NAME`getColumnQualifiedName((String)tableReference.get(AtlasClient.REFERENCEABLE_ATTRIBUTE_NAME)`fs.getName()));" is 169.
atlas-release-0.7.1-rc3,org.apache.atlas.hive.bridge,HiveLiteralRewriterTest,testLiteralRewrite,Long Statement,The length of the statement "ctx.setQueryStr("insert into table testTable partition(dt='2014-01-01') select * from test1 where dt = '2014-01-01'" + " and intColumn = 10" + " and decimalColumn = 1.10"+ " and charColumn = 'a'"+ " and hexColumn = unhex('\\0xFF')"+ " and expColumn = cast('-1.5e2' as int)"+ " and boolCol = true");" is 298.
atlas-release-0.7.1-rc3,org.apache.atlas.hive.bridge,HiveLiteralRewriterTest,testLiteralRewrite,Long Statement,The length of the statement "final String normalizedSQL="insert into table testTable partition(dt='STRING_LITERAL') " + "select * from test1 where dt = 'STRING_LITERAL' " + "and intColumn = NUMBER_LITERAL "+ "and decimalColumn = NUMBER_LITERAL and "+ "charColumn = 'STRING_LITERAL' and "+ "hexColumn = unhex('STRING_LITERAL') and "+ "expColumn = cast('STRING_LITERAL' as int) and "+ "boolCol = BOOLEAN_LITERAL";" is 382.
atlas-release-0.7.1-rc3,org.apache.atlas.hive.bridge,HiveMetastoreBridgeIT,testCreateTableAndImport,Long Statement,The length of the statement "String processId=assertEntityIsRegistered(HiveDataTypes.HIVE_PROCESS.getName()`AtlasClient.REFERENCEABLE_ATTRIBUTE_NAME`getTableProcessQualifiedName(DEFAULT_DB`tableName)`null);" is 177.
