Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path
1.1.0,org.apache.sshd.agent.common,AbstractAgentClient,2,0,5,1,120,19,0,0,0.0,0,6,c:\sources\mina-sshd\1.1.0\mina-sshd-sshd-1.1.0\sshd-core\src\main\java\org\apache\sshd\agent\common\AbstractAgentClient.java
1.1.0,org.apache.sshd.agent.common,AbstractAgentProxy,2,0,15,10,127,29,0,0,0.2,0,6,c:\sources\mina-sshd\1.1.0\mina-sshd-sshd-1.1.0\sshd-core\src\main\java\org\apache\sshd\agent\common\AbstractAgentProxy.java
1.1.0,org.apache.sshd.agent.common,AgentDelegate,1,0,8,8,26,8,0,0,0.25,0,1,c:\sources\mina-sshd\1.1.0\mina-sshd-sshd-1.1.0\sshd-core\src\main\java\org\apache\sshd\agent\common\AgentDelegate.java
1.1.0,org.apache.sshd.agent.common,AgentForwardSupport,3,0,5,4,45,7,0,0,0.0,1,2,c:\sources\mina-sshd\1.1.0\mina-sshd-sshd-1.1.0\sshd-core\src\main\java\org\apache\sshd\agent\common\AgentForwardSupport.java
1.1.0,org.apache.sshd.agent.local,AgentForwardedChannel,3,0,8,4,69,15,0,0,0.5,2,3,c:\sources\mina-sshd\1.1.0\mina-sshd-sshd-1.1.0\sshd-core\src\main\java\org\apache\sshd\agent\local\AgentForwardedChannel.java
1.1.0,org.apache.sshd.agent.local,AgentImpl,2,0,9,8,95,23,0,0,0.2222222222222222,2,6,c:\sources\mina-sshd\1.1.0\mina-sshd-sshd-1.1.0\sshd-core\src\main\java\org\apache\sshd\agent\local\AgentImpl.java
1.1.0,org.apache.sshd.agent.local,AgentServerProxy,3,0,5,5,42,9,0,0,0.0,1,4,c:\sources\mina-sshd\1.1.0\mina-sshd-sshd-1.1.0\sshd-core\src\main\java\org\apache\sshd\agent\local\AgentServerProxy.java
1.1.0,org.apache.sshd.agent.local,ChannelAgentForwarding,3,0,10,5,65,10,0,0,0.5,1,12,c:\sources\mina-sshd\1.1.0\mina-sshd-sshd-1.1.0\sshd-core\src\main\java\org\apache\sshd\agent\local\ChannelAgentForwarding.java
1.1.0,org.apache.sshd.agent.local,AgentClient,0,0,2,1,9,2,0,0,-1.0,1,1,c:\sources\mina-sshd\1.1.0\mina-sshd-sshd-1.1.0\sshd-core\src\main\java\org\apache\sshd\agent\local\ChannelAgentForwarding.java
1.1.0,org.apache.sshd.agent.local,ChannelAgentForwardingFactory,1,1,3,3,15,3,0,0,1.0,3,2,c:\sources\mina-sshd\1.1.0\mina-sshd-sshd-1.1.0\sshd-core\src\main\java\org\apache\sshd\agent\local\ChannelAgentForwardingFactory.java
1.1.0,org.apache.sshd.agent.local,LocalAgentFactory,1,0,6,6,21,6,0,0,0.5,1,5,c:\sources\mina-sshd\1.1.0\mina-sshd-sshd-1.1.0\sshd-core\src\main\java\org\apache\sshd\agent\local\LocalAgentFactory.java
1.1.0,org.apache.sshd.agent.local,ProxyAgentFactory,2,0,7,7,47,12,0,0,0.5714285714285714,1,8,c:\sources\mina-sshd\1.1.0\mina-sshd-sshd-1.1.0\sshd-core\src\main\java\org\apache\sshd\agent\local\ProxyAgentFactory.java
1.1.0,org.apache.sshd.agent,SshAgent,1,0,5,0,11,5,0,0,-1.0,14,0,c:\sources\mina-sshd\1.1.0\mina-sshd-sshd-1.1.0\sshd-core\src\main\java\org\apache\sshd\agent\SshAgent.java
1.1.0,org.apache.sshd.agent,SshAgentConstants,27,26,3,2,60,5,0,0,1.0,2,2,c:\sources\mina-sshd\1.1.0\mina-sshd-sshd-1.1.0\sshd-core\src\main\java\org\apache\sshd\agent\SshAgentConstants.java
1.1.0,org.apache.sshd.agent,LazyMessagesMapHolder,1,0,1,1,12,2,0,0,0.0,1,0,c:\sources\mina-sshd\1.1.0\mina-sshd-sshd-1.1.0\sshd-core\src\main\java\org\apache\sshd\agent\SshAgentConstants.java
1.1.0,org.apache.sshd.agent,SshAgentFactory,0,0,3,0,24,3,0,0,-1.0,5,2,c:\sources\mina-sshd\1.1.0\mina-sshd-sshd-1.1.0\sshd-core\src\main\java\org\apache\sshd\agent\SshAgentFactory.java
1.1.0,org.apache.sshd.agent,SshAgentServer,2,0,1,0,11,1,0,0,-1.0,1,0,c:\sources\mina-sshd\1.1.0\mina-sshd-sshd-1.1.0\sshd-core\src\main\java\org\apache\sshd\agent\SshAgentServer.java
1.1.0,org.apache.sshd.agent,AgentTest,2,2,5,5,115,6,0,0,0.6,0,9,c:\sources\mina-sshd\1.1.0\mina-sshd-sshd-1.1.0\sshd-core\src\test\java\org\apache\sshd\agent\AgentTest.java
1.1.0,org.apache.sshd.agent,TestEchoShellFactory,1,1,1,1,6,1,0,0,0.0,1,1,c:\sources\mina-sshd\1.1.0\mina-sshd-sshd-1.1.0\sshd-core\src\test\java\org\apache\sshd\agent\AgentTest.java
1.1.0,org.apache.sshd.agent,TestEchoShell,1,1,1,1,8,1,0,0,0.0,2,1,c:\sources\mina-sshd\1.1.0\mina-sshd-sshd-1.1.0\sshd-core\src\test\java\org\apache\sshd\agent\AgentTest.java
1.1.0,org.apache.sshd.agent.unix,AgentClient,7,0,8,5,127,20,0,0,0.0,1,3,c:\sources\mina-sshd\1.1.0\mina-sshd-sshd-1.1.0\sshd-core\src\main\java\org\apache\sshd\agent\unix\AgentClient.java
1.1.0,org.apache.sshd.agent.unix,AgentForwardedChannel,1,0,5,2,46,10,0,0,0.4,1,2,c:\sources\mina-sshd\1.1.0\mina-sshd-sshd-1.1.0\sshd-core\src\main\java\org\apache\sshd\agent\unix\AgentForwardedChannel.java
1.1.0,org.apache.sshd.agent.unix,AgentServer,8,0,13,11,133,25,0,0,0.23076923076923078,2,7,c:\sources\mina-sshd\1.1.0\mina-sshd-sshd-1.1.0\sshd-core\src\main\java\org\apache\sshd\agent\unix\AgentServer.java
1.1.0,org.apache.sshd.agent.unix,SshAgentSession,1,0,3,2,34,7,0,0,0.0,1,3,c:\sources\mina-sshd\1.1.0\mina-sshd-sshd-1.1.0\sshd-core\src\main\java\org\apache\sshd\agent\unix\AgentServer.java
1.1.0,org.apache.sshd.agent.unix,AgentServerProxy,12,2,10,8,172,38,0,0,0.0,3,9,c:\sources\mina-sshd\1.1.0\mina-sshd-sshd-1.1.0\sshd-core\src\main\java\org\apache\sshd\agent\unix\AgentServerProxy.java
1.1.0,org.apache.sshd.agent.unix,AprLibrary,2,0,9,0,94,16,0,0,0.0,5,2,c:\sources\mina-sshd\1.1.0\mina-sshd-sshd-1.1.0\sshd-core\src\main\java\org\apache\sshd\agent\unix\AprLibrary.java
