Project Name,Package Name,Architecture Smell,Cause of the Smell
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 124
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.configuration; org.apache.commons.configuration.reloading
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.commons.configuration.reloading; org.apache.commons.configuration.tree.xpath; org.apache.commons.configuration.beanutils
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration.event,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.commons.configuration
commons-configuration-CONFIGURATION_1_3,org.apache.commons.configuration.tree,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.commons.configuration
