Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
sdks,org.apache.beam.sdk.coders,CoderRegistry,Hub-like Modularization,The tool detected the smell in this class because this class has high number of incoming as well as outgoing dependencies. Incoming dependecies: CoderRegistry; CoderRegistryTest; DefaultCoderTest; SerializableCoderTest; AvroIO; Parse; FileBasedSink; DynamicDestinations; Pipeline; StateSpecs; ApproximateQuantiles; ApproximateQuantilesCombineFn; ApproximateUnique; ApproximateUniqueCombineFn; Combine; BinaryCombineFn; BinaryCombineIntegerFn; BinaryCombineLongFn; BinaryCombineDoubleFn; PerKeyWithHotKeyFanout; GroupedValues; CombineFnBase; GlobalCombineFn; AbstractGlobalCombineFn; CombineFns; ComposedCombineFn; ComposedCombineFnWithContext; Count; CountFn; Create; Values; TimestampedValues; Latest; LatestFn; Mean; MeanFn; ParDo; SingleOutput; MultiOutput; Sample; FixedSizedSampleFn; Top; TopCombineFn; WithKeys; CombineTest; SharedTestBase; TestCounter; TestCombineFn; TestCombineFnWithContext; MeanInts; LatestFnTest; SumTest; ByteBuddyDoFnInvokerFactory; DefaultRestrictionCoder; DoFnInvoker; DoFnInvokersTest; AppliedCombineFn; CombineFnUtil; NonSerializableBoundedCombineFn; PCollection; SketchFrequencies; CountMinSketchFn; TDigestQuantiles; TDigestQuantilesFn; CovarianceFn; VarianceFn; VarianceFnTest; BeamAggregationTransforms; AggregationAdaptor; BeamBuiltinAggregations; Avg; HashingFn; BigQueryIO; TypedRead; DynamicDestinations; BigQueryCoderProviderRegistrarTest; BigQueryIOReadTest; WritableCoderTest; HadoopInputFormatIO; Read; HBaseCoderProviderRegistrarTest; KafkaIO; Read; KafkaIOTest; NexmarkUtils. Outgoing dependencies: Coder; TypeDescriptor; CoderProvider; CannotProvideCoderException; CoderRegistry; SerializableFunction; IncompatibleCoderException; ObjectsClassComparator; CoderProviders; BooleanCoder; ByteCoder; BitSetCoder; FloatCoder; DoubleCoder; InstantCoder; VarIntCoder; IterableCoder; KV; KvCoder; ListCoder; VarLongCoder; MapCoder; Metadata; MetadataCoder; ResourceId; ResourceIdCoder; ReadableFileCoder; SetCoder; StringUtf8Coder; TimestampedValue; VoidCoder; ByteArrayCoder; IntervalWindow; CoderUtils; Iterables
sdks,org.apache.beam.sdk.coders,CommonTypes,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sdks,org.apache.beam.sdk.coders,CollectionCoder,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): IterableLikeCoder
sdks,org.apache.beam.sdk.coders,DefaultCoderProviderRegistrar,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sdks,org.apache.beam.sdk.coders,IterableCoder,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): IterableLikeCoder
sdks,org.apache.beam.sdk.coders,IterableLikeCoder,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): StructuredCoder
sdks,org.apache.beam.sdk.coders,KvCoder,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): StructuredCoder
sdks,org.apache.beam.sdk.coders,LengthPrefixCoder,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): StructuredCoder
sdks,org.apache.beam.sdk.coders,MapCoder,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): StructuredCoder
sdks,org.apache.beam.sdk.coders,NullableCoder,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): StructuredCoder
