Project Name,Package Name,Architecture Smell,Cause of the Smell
commons-exec-1.3,org.apache.commons.exec,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.commons.exec.launcher; org.apache.commons.exec.environment
commons-exec-1.3,org.apache.commons.exec.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.commons.exec.environment
commons-exec-1.3,org.apache.commons.exec.issues,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Exec33Test]; [Exec34Test]; [Exec36Test]; [Exec41Test]; [Exec44Test]; [Exec49Test]; [Exec57Test]; [Exec60Test]. LCC (Lack of Component Cohesion) = 1.0
