Project,Release,Package,Classes,Refactoring-LOC,Smells-Rank-3,Efforts-Rank-3,Smells-Rank-5,Efforts-Rank-5,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,FANIN,FANOUT,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency
atlas,0.7.1,org.apache.atlas.hive.bridge,5,0,High,High,Very High,High,21,9,55,33,713,88,0,0,12,19,,Packages(2): org.apache.atlas.hive.bridge;org.apache.atlas.hive.hook,,,,,Packages(2): org.apache.atlas.hive.model;org.apache.atlas.hive.hook
atlas,0.7.1,org.apache.atlas.hive.hook,5,0,High,High,High,High,50,5,203,121,2159,362,0,0,6,19,,,,,,,Packages(1): org.apache.atlas.hive
atlas,0.7.1,org.apache.atlas.authorize,4,0,High,High,High,High,15,0,25,25,152,34,0,0,8,6,,,,,,,Packages(1): org.apache.atlas.authorize.simple
atlas,0.7.1,org.apache.atlas.authorize.simple,10,0,High,High,High,High,37,10,42,31,1019,176,0,0,15,18,,,,LCC: 0.2,,,
atlas,0.7.1,org.apache.atlas.catalog,37,0,High,High,Very High,High,51,6,223,156,2898,282,20,29,140,128,,,,,classes: 37,,Packages(2): org.apache.atlas.catalog.query;org.apache.atlas.services
atlas,0.7.1,org.apache.atlas.catalog.definition,10,0,High,Medium,High,High,11,1,100,78,826,134,5,9,36,34,,,,,,,Packages(2): org.apache.atlas.catalog;org.apache.atlas.catalog.projection
atlas,0.7.1,org.apache.atlas.catalog.exception,6,0,High,Medium,High,High,5,0,11,11,70,11,4,4,4,0,,,,LCC: 0.33,,,
atlas,0.7.1,org.apache.atlas.catalog.query,23,0,High,Medium,High,High,34,1,130,72,1093,172,15,29,61,96,,,,,,,Packages(1): org.apache.atlas.repository.graph
atlas,0.7.1,org.apache.atlas,31,135,High,High,Very High,Very High,185,94,409,305,3200,481,1,1,208,135,,,,,classes: 31,,Packages(12): org.apache.atlas.repository.graph;org.apache.atlas.repository.typestore;org.apache.atlas.services;org.apache.atlas.discovery.graph;org.apache.atlas.discovery;org.apache.atlas.typesystem.types.cache;org.apache.atlas.repository.audit;org.apache.atlas.service;org.apache.atlas.web.service;org.apache.atlas.web.setup;org.apache.atlas.web.resources;org.apache.atlas.web.filters
atlas,0.7.1,org.apache.atlas.ha,5,0,High,Medium,High,Medium,34,16,41,40,360,64,0,0,29,12,,,,,,,Packages(1): org.apache.atlas
atlas,0.7.1,org.apache.atlas.service,5,0,Medium,Medium,High,Medium,20,1,63,49,923,86,0,0,5,35,,,,,,,Packages(1): org.apache.atlas.repository.typestore
atlas,0.7.1,org.apache.atlas.utils,6,0,High,Medium,Very High,Medium,12,1,39,32,379,75,0,0,42,5,,,,LCC: 1.0,,,Packages(1): org.apache.atlas
atlas,0.7.1,org.apache.atlas.repository.graphdb,11,0,Medium,Medium,High,Medium,0,0,65,2,430,65,2,2,2,3,,,,LCC: 0.73,,,
atlas,0.7.1,org.apache.atlas.notification,37,0,High,Medium,Very High,Medium,81,14,192,136,1828,254,7,11,77,100,,,,LCC: 0.27,classes: 37,,Packages(1): org.apache.atlas.kafka
atlas,0.7.1,org.apache.atlas.notification.entity,6,0,Medium,Medium,High,Medium,4,0,24,17,238,33,1,1,19,26,,,,,,,Packages(1): org.apache.atlas.notification
atlas,0.7.1,org.apache.atlas.notification.hook,10,0,Medium,Medium,Medium,Medium,26,3,66,51,401,76,5,6,24,24,,,,,,,Packages(2): org.apache.atlas.notification;org.apache.atlas.notification.entity
atlas,0.7.1,org.apache.atlas.discovery,8,18,Medium,High,Medium,High,24,3,89,43,834,108,1,1,9,39,,,,LCC: 0.5,,,
atlas,0.7.1,org.apache.atlas.repository,8,0,Medium,Medium,Medium,Medium,21,20,44,19,277,56,1,1,44,18,,,,LCC: 0.63,,,
atlas,0.7.1,org.apache.atlas.repository.graph,24,70,Medium,High,Medium,Very High,82,10,325,177,3928,666,5,5,75,197,,,,,,,Packages(1): org.apache.atlas.discovery.graph
atlas,0.7.1,org.apache.atlas.repository.typestore,9,105,Medium,High,Medium,Very High,29,2,54,28,677,127,1,1,13,52,,,,LCC: 0.33,,,
atlas,0.7.1,org.apache.atlas.services,7,115,Medium,High,Medium,Very High,20,0,95,42,849,133,2,2,29,50,,,,,,,Packages(1): org.apache.atlas.repository.typestore
atlas,0.7.1,org.apache.atlas.typesystem.exception,7,0,Medium,Medium,Medium,Medium,1,0,28,28,110,28,0,0,0,1,,,,LCC: 1.0,,,
atlas,0.7.1,com.thinkaurelius.titan.diskstorage.locking,5,0,Medium,Medium,Medium,Medium,22,0,24,22,295,57,0,0,10,7,,,,,,,Packages(1): com.thinkaurelius.titan.diskstorage.hbase
atlas,0.7.1,org.apache.atlas.typesystem,8,0,Medium,Medium,Medium,Medium,5,1,60,23,245,73,10,14,197,5,,,,,,,Packages(1): org.apache.atlas.typesystem.persistence
atlas,0.7.1,org.apache.atlas.typesystem.persistence,5,0,Medium,Medium,Medium,Medium,32,27,100,99,937,224,1,1,73,24,,Packages(2): org.apache.atlas.typesystem.types;org.apache.atlas.typesystem.persistence,,,,,
atlas,0.7.1,org.apache.atlas.typesystem.types,64,24,High,High,Very High,High,208,115,510,347,4780,978,36,71,580,340,,Packages(2): org.apache.atlas.typesystem.types;org.apache.atlas.typesystem.types.cache,,,classes: 64,,Packages(3): org.apache.atlas.typesystem.persistence;org.apache.atlas.typesystem.types.cache;org.apache.atlas.typesystem.types.utils
atlas,0.7.1,org.apache.atlas.web.filters,16,41,Medium,High,Medium,High,54,14,152,120,1420,271,1,1,17,30,,,,LCC: 0.44,,,
atlas,0.7.1,org.apache.atlas.web.resources,31,410,High,High,High,Very High,114,16,269,195,3838,373,10,11,19,132,,,,LCC: 0.32,classes: 31,,
atlas,0.7.1,org.apache.atlas.web.security,17,0,Medium,Medium,Medium,Medium,66,8,86,53,976,133,8,11,12,29,,,,LCC: 0.35,,,
atlas,0.7.1,org.apache.atlas.web.service,17,0,High,Medium,High,Medium,51,12,113,83,1136,137,2,2,33,57,,,,LCC: 0.24,,,Packages(3): org.apache.atlas.service;org.apache.atlas.kafka;org.apache.atlas.web.security
atlas,0.7.1,org.apache.atlas.web.util,3,0,Medium,Medium,Medium,Medium,7,2,18,16,191,35,0,0,25,6,,,,,,,Packages(1): org.apache.atlas
atlas,0.7.1,org.apache.atlas.falcon.hook,3,0,Medium,Medium,Medium,Medium,24,10,29,8,373,53,0,0,1,15,,,,,,,
atlas,0.7.1,org.apache.atlas.falcon.model,1,0,Medium,Medium,Medium,Medium,10,8,13,5,93,18,0,0,3,8,,,,,,,
atlas,0.7.1,org.apache.atlas.falcon.service,2,0,Medium,Medium,Medium,Medium,9,1,19,15,213,40,0,0,1,4,,,,,,,
atlas,0.7.1,org.apache.atlas.fs.model,2,0,Medium,Medium,Medium,Medium,4,1,4,4,50,6,0,0,0,4,,,,,,,
atlas,0.7.1,org.apache.atlas.hive.model,1,0,Medium,Medium,Medium,Medium,22,17,18,10,138,23,0,0,9,12,,,,,,,
atlas,0.7.1,org.apache.atlas.hive.rewrite,5,0,Medium,Medium,Medium,Medium,8,1,16,9,125,22,1,1,8,7,,,,,,,
atlas,0.7.1,org.apache.atlas.hive,3,0,Medium,Medium,Medium,Medium,13,1,23,2,168,31,0,0,3,10,,,,,,,
atlas,0.7.1,org.apache.atlas.sqoop.hook,4,0,Medium,Medium,Medium,Medium,15,6,25,9,276,42,0,0,3,18,,,,,,,
atlas,0.7.1,org.apache.atlas.sqoop.model,1,0,Medium,Medium,Medium,Medium,17,12,12,10,82,15,0,0,3,8,,,,,,,
atlas,0.7.1,org.apache.atlas.storm.hook,5,0,Medium,Medium,Medium,Low,17,5,44,20,577,108,0,0,4,16,,,,,,,
atlas,0.7.1,org.apache.atlas.storm.model,1,0,Medium,Medium,Medium,Low,0,0,1,1,12,2,0,0,0,1,,,,,,,
atlas,0.7.1,org.apache.atlas.catalog.projection,10,0,Medium,Medium,Low,Low,12,0,34,30,271,59,5,8,13,24,,,,,,,
atlas,0.7.1,org.apache.atlas.security,4,0,Medium,Low,Low,Low,28,17,25,15,435,66,0,0,13,4,,,,,,,
atlas,0.7.1,org.apache.atlas.hook,5,0,Medium,Low,Low,Low,18,7,56,22,498,77,0,0,7,10,,,,,,,
atlas,0.7.1,org.apache.atlas.kafka,9,0,Low,Low,Low,Low,31,4,58,38,605,78,1,1,14,28,,,,,,,
atlas,0.7.1,org.apache.atlas.discovery.graph,2,56,Low,High,Low,Very High,6,1,29,26,303,63,0,0,7,20,,,,,,,
atlas,0.7.1,org.apache.atlas.repository.audit,10,31,Low,High,Low,High,23,9,50,33,479,73,5,5,16,24,,,,,,,
atlas,0.7.1,org.apache.atlas.repository.memory,25,0,Low,Low,Low,Low,43,1,231,53,1352,325,22,50,27,98,,,,,,,
atlas,0.7.1,org.apache.atlas.setup,2,0,Low,Low,Low,Low,0,0,3,2,14,3,0,0,2,0,,,,,,,
atlas,0.7.1,com.thinkaurelius.titan.diskstorage.hbase,21,0,Low,Low,Low,Low,79,13,168,124,1299,244,9,9,27,30,,,,,,,
atlas,0.7.1,com.thinkaurelius.titan.diskstorage.solr,2,0,Low,Low,Low,Low,28,17,32,15,769,164,0,0,2,2,,,,,,,
atlas,0.7.1,com.thinkaurelius.titan.graphdb.query.graph,1,0,Low,Low,Low,Low,15,0,29,24,320,76,0,0,1,1,,,,,,,
atlas,0.7.1,org.apache.atlas.typesystem.types.cache,3,0,Low,Low,Low,Low,14,0,55,38,477,77,1,1,8,13,,,,,,,
atlas,0.7.1,org.apache.atlas.examples,2,0,Low,Low,Very Low,Very Low,26,18,34,7,301,41,0,0,2,15,,,,,,,
atlas,0.7.1,org.apache.atlas.util,2,0,Low,Low,Very Low,Very Low,4,1,12,10,115,23,0,0,3,2,,,,,,,
atlas,0.7.1,org.apache.atlas.web.errors,1,0,Low,Low,Very Low,Very Low,1,0,4,1,24,5,0,0,0,0,,,,,,,
atlas,0.7.1,org.apache.atlas.web.listeners,5,0,Low,Low,Very Low,Very Low,12,4,31,7,300,46,1,1,3,14,,,,,,,
atlas,0.7.1,org.apache.atlas.web.params,3,0,Low,Low,Very Low,Very Low,1,0,15,6,112,19,2,2,1,1,,,,,,,
atlas,0.7.1,org.apache.atlas.web.setup,4,0,Low,Low,Very Low,Very Low,9,1,24,13,280,26,0,0,5,16,,,,,,,
atlas,0.8.1,org.apache.atlas.hive.bridge,7,0,High,High,Very High,Very High,46,34,64,37,823,108,0,0,17,25,,Packages(2): org.apache.atlas.hive.bridge;org.apache.atlas.hive.hook,,LCC: 0.43,,,Packages(1): org.apache.atlas.hive.hook
atlas,0.8.1,org.apache.atlas.hive.hook,5,0,High,High,High,Very High,52,7,203,120,2304,370,0,0,6,19,,,,,,,Packages(1): org.apache.atlas.hive
atlas,0.8.1,org.apache.atlas.authorize,4,0,High,High,Very High,Very High,15,0,25,22,152,34,0,0,11,6,,Packages(2): org.apache.atlas.authorize.simple;org.apache.atlas.authorize,,,,,Packages(1): org.apache.atlas.authorize.simple
atlas,0.8.1,org.apache.atlas.authorize.simple,10,0,High,High,High,Very High,37,10,44,33,1051,181,0,0,16,21,,,,LCC: 0.2,,,
atlas,0.8.1,org.apache.atlas.catalog,37,0,High,High,Very High,Very High,52,6,223,156,2914,285,20,29,149,131,,,,,classes: 37,,Packages(3): org.apache.atlas.catalog.query;org.apache.atlas.services;org.apache.atlas.repository.converters
atlas,0.8.1,org.apache.atlas.catalog.definition,10,0,Medium,High,High,High,11,1,100,78,826,134,5,9,36,34,,,,,,,Packages(2): org.apache.atlas.catalog;org.apache.atlas.catalog.projection
atlas,0.8.1,org.apache.atlas.catalog.exception,6,0,Medium,High,High,High,5,0,11,11,70,11,4,4,4,0,,,,LCC: 0.33,,,
atlas,0.8.1,org.apache.atlas.catalog.query,23,0,Medium,High,High,High,36,1,135,75,1121,179,15,29,61,98,,,,,,,Packages(1): org.apache.atlas.repository.graph
atlas,0.8.1,org.apache.atlas,47,0,High,High,Very High,High,273,124,581,440,4875,747,5,5,324,243,,Packages(5): org.apache.atlas.repository.graph;org.apache.atlas.util;org.apache.atlas.repository.store.graph.v1;org.apache.atlas.discovery;org.apache.atlas,,,classes: 47,,Packages(12): org.apache.atlas.model;org.apache.atlas.services;org.apache.atlas.repository.store.graph.v1;org.apache.atlas.repository.graph;org.apache.atlas.repository.typestore;org.apache.atlas.repository.store.graph;org.apache.atlas.repository.impexp;org.apache.atlas.util;org.apache.atlas.discovery.graph;org.apache.atlas.repository.audit;org.apache.atlas.service;org.apache.atlas.web.service
atlas,0.8.1,org.apache.atlas.ha,5,0,Medium,High,High,High,34,16,41,40,302,52,0,0,27,12,,,,,,,Packages(1): org.apache.atlas
atlas,0.8.1,org.apache.atlas.repository,9,0,High,High,High,High,30,29,48,20,307,56,1,1,77,18,,,,LCC: 0.67,,,Packages(1): org.apache.atlas.util
atlas,0.8.1,org.apache.atlas.utils,22,108,High,High,High,Very High,67,0,123,96,1105,188,10,23,67,34,,,,LCC: 0.41,,,Packages(1): org.apache.atlas
atlas,0.8.1,org.apache.atlas.repository.graphdb,14,0,High,High,Very High,High,0,0,106,1,653,106,2,2,183,8,Class: AtlasSchemaViolationException,,,LCC: 0.64,,,Packages(1): org.apache.atlas.typesystem.types
atlas,0.8.1,org.apache.atlas.repository.graphdb.titan.query,3,0,Medium,High,Medium,High,4,0,21,12,171,35,0,0,9,7,,,,,,,Packages(1): org.apache.atlas.repository.graphdb.titan.query.expr
atlas,0.8.1,org.apache.atlas.graph,1,0,Medium,High,Medium,High,1,0,2,2,21,2,0,0,10,2,,,,,,,Packages(1): org.apache.atlas
atlas,0.8.1,com.thinkaurelius.titan.diskstorage.locking,5,0,Medium,High,Medium,High,22,0,24,22,295,57,0,0,10,7,,,,,,,Packages(1): com.thinkaurelius.titan.diskstorage.hbase
atlas,0.8.1,org.apache.atlas.model.instance,20,0,High,High,High,High,61,5,274,268,1576,406,5,5,219,48,,,,LCC: 0.4,,,Packages(2): org.apache.atlas.type;org.apache.atlas.model
atlas,0.8.1,org.apache.atlas.model.typedef,18,0,High,High,High,High,106,35,302,293,1824,439,4,6,243,30,,,,LCC: 0.28,,,Packages(2): org.apache.atlas.type;org.apache.atlas.model
atlas,0.8.1,org.apache.atlas.store,1,0,Medium,High,Medium,High,0,0,25,0,30,25,0,0,28,6,,,,,,,Packages(1): org.apache.atlas.model
atlas,0.8.1,org.apache.atlas.type,47,0,High,Medium,High,High,206,2,588,488,6218,1435,19,21,318,149,,,,,classes: 47,,Packages(1): org.apache.atlas.model
atlas,0.8.1,org.apache.atlas.hook,6,0,Medium,Medium,Medium,High,18,7,63,27,541,84,0,0,7,10,,,,LCC: 0.5,,,
atlas,0.8.1,org.apache.atlas.notification,36,0,High,Medium,Very High,High,102,21,187,139,2027,281,7,11,68,131,,,,LCC: 0.28,classes: 36,,Packages(3): org.apache.atlas.repository.converters;org.apache.atlas.kafka;org.apache.atlas.web.filters
atlas,0.8.1,org.apache.atlas.notification.entity,6,0,Medium,Medium,Medium,High,4,0,24,17,231,33,1,1,18,26,,,,,,,Packages(1): org.apache.atlas.notification
atlas,0.8.1,org.apache.atlas.notification.hook,10,0,Medium,Medium,Medium,Medium,26,3,66,51,401,76,5,6,22,24,,,,,,,Packages(2): org.apache.atlas.notification;org.apache.atlas.notification.entity
atlas,0.8.1,org.apache.atlas.discovery,21,0,Medium,Medium,Medium,Medium,88,13,216,107,2816,546,8,8,29,121,,,,LCC: 0.29,,,
atlas,0.8.1,org.apache.atlas.gremlin,3,0,Medium,Medium,Medium,Medium,44,1,123,99,948,176,2,2,12,25,,,,,,,Packages(1): org.apache.atlas.util
atlas,0.8.1,org.apache.atlas.repository.graph,33,188,High,High,High,Very High,104,8,602,289,6433,1213,11,13,98,323,,,,,classes: 33,,Packages(2): org.apache.atlas.gremlin.optimizer;org.apache.atlas.discovery.graph
atlas,0.8.1,org.apache.atlas.repository.store.graph,12,0,High,Medium,High,Medium,17,0,159,71,1291,295,0,0,30,59,,,,LCC: 0.42,,,Packages(2): org.apache.atlas.repository.store.graph.v1;org.apache.atlas.repository.util
atlas,0.8.1,org.apache.atlas.repository.store.graph.v1,34,16,High,High,High,Very High,103,5,488,272,6317,1236,15,15,117,348,,,,,classes: 34,,Packages(3): org.apache.atlas.repository.converters;org.apache.atlas.repository.graph;org.apache.atlas.discovery
atlas,0.8.1,org.apache.atlas.services,5,0,Medium,Medium,Medium,Medium,56,8,104,48,972,159,1,1,24,39,,,,,,,Packages(5): org.apache.atlas.repository.typestore;org.apache.atlas.repository.audit;org.apache.atlas.repository.graph;org.apache.atlas.util;org.apache.atlas.discovery
atlas,0.8.1,org.apache.atlas.util,26,0,High,Medium,High,Medium,57,10,342,78,2226,583,11,12,53,69,,,,LCC: 0.38,,,Packages(6): org.apache.atlas.typesystem.types.cache;org.apache.atlas.repository.audit;org.apache.atlas.repository.graph;org.apache.atlas.repository.store.graph.v1;org.apache.atlas.discovery;org.apache.atlas.repository.converters
atlas,0.8.1,org.apache.atlas.typesystem.exception,8,0,Medium,Medium,Medium,Medium,1,0,33,33,129,33,3,3,6,1,,,,LCC: 0.63,,,
atlas,0.8.1,org.apache.atlas.typesystem,8,0,Medium,Medium,Medium,Medium,6,1,65,27,277,80,10,14,241,6,,,,,,,Packages(1): org.apache.atlas.typesystem.persistence
atlas,0.8.1,org.apache.atlas.typesystem.persistence,6,0,High,Medium,Very High,Medium,39,33,111,110,1013,241,1,1,94,27,,Packages(2): org.apache.atlas.typesystem.types;org.apache.atlas.typesystem.persistence,,LCC: 0.33,,,Packages(1): org.apache.atlas.utils
atlas,0.8.1,org.apache.atlas.typesystem.types,63,0,High,Medium,Very High,Medium,213,118,539,365,4807,1004,36,71,563,349,,Packages(2): org.apache.atlas.typesystem.types;org.apache.atlas.typesystem.types.cache,,,classes: 63,,Packages(5): org.apache.atlas;org.apache.atlas.utils;org.apache.atlas.typesystem.persistence;org.apache.atlas.typesystem.types.cache;org.apache.atlas.typesystem.types.utils
atlas,0.8.1,org.apache.atlas.typesystem.types.utils,1,0,Medium,Medium,Medium,Medium,1,0,19,18,81,22,0,0,39,6,,,,,,,Packages(1): org.apache.atlas
atlas,0.8.1,org.apache.atlas.web.filters,20,0,Medium,Medium,Medium,Medium,90,22,200,160,1987,364,1,1,24,40,,,,LCC: 0.45,,,
atlas,0.8.1,org.apache.atlas.web.resources,22,0,Medium,Medium,Medium,Medium,102,14,174,131,3133,361,5,6,10,123,,,,LCC: 0.5,classes: 31,,
atlas,0.8.1,org.apache.atlas.web.security,22,0,High,Medium,High,Medium,110,11,124,78,1480,218,9,12,24,48,,,,LCC: 0.23,,,Packages(1): org.apache.atlas.web.filters
atlas,0.8.1,org.apache.atlas.web.service,15,0,High,Medium,High,Medium,50,12,104,77,1085,126,2,2,34,42,,,,LCC: 0.2,,,Packages(1): org.apache.atlas.web.security
atlas,0.8.1,org.apache.atlas.falcon.bridge,1,0,Medium,Medium,Medium,Medium,9,8,15,6,259,48,0,0,3,6,,,,,,,
atlas,0.8.1,org.apache.atlas.falcon.hook,3,0,Medium,Medium,Medium,Medium,24,10,28,8,360,51,0,0,1,14,,,,,,,
atlas,0.8.1,org.apache.atlas.falcon.service,2,0,Medium,Medium,Medium,Medium,9,1,19,15,213,40,0,0,1,4,,,,,,,
atlas,0.8.1,org.apache.atlas.hive.rewrite,5,0,Medium,Medium,Medium,Medium,8,1,16,9,125,22,1,1,8,7,,,,,,,
atlas,0.8.1,org.apache.atlas.hive,3,0,Medium,Medium,Medium,Medium,13,1,23,2,168,31,0,0,3,10,,,,,,,
atlas,0.8.1,org.apache.atlas.sqoop.hook,4,0,Medium,Medium,Medium,Medium,27,18,24,9,274,40,0,0,3,15,,,,,,,
atlas,0.8.1,org.apache.atlas.storm.hook,5,0,Medium,Medium,Medium,Medium,17,5,42,19,535,103,0,0,4,14,,,,,,,
atlas,0.8.1,org.apache.atlas.catalog.projection,10,0,Medium,Medium,Medium,Medium,12,0,34,30,271,59,5,8,13,24,,,,,,,
atlas,0.8.1,org.apache.atlas.security,5,0,Medium,Medium,Medium,Medium,30,17,30,17,493,81,0,0,14,5,,,,,,,
atlas,0.8.1,org.apache.atlas.groovy,23,0,Medium,Medium,Medium,Medium,46,3,141,128,851,174,20,46,125,57,,,,,,,
atlas,0.8.1,org.apache.atlas.service,5,0,Medium,Medium,Medium,Medium,20,1,67,53,949,91,0,0,3,39,,,,,,,
atlas,0.8.1,org.apache.atlas.repository.graphdb.titan.query.expr,5,0,Medium,Medium,Medium,Medium,7,0,22,20,166,29,2,2,6,10,,,,,,,
atlas,0.8.1,org.apache.atlas.repository.graphdb.utils,1,0,Medium,Medium,Medium,Medium,1,0,2,2,12,2,0,0,0,0,,,,,,,
atlas,0.8.1,com.thinkaurelius.titan.diskstorage.hbase,21,0,Medium,Medium,Medium,Medium,79,13,168,122,1290,243,9,9,27,30,,,,,,,
atlas,0.8.1,com.thinkaurelius.titan.diskstorage.solr,2,0,Medium,Medium,Medium,Medium,28,17,32,15,760,164,0,0,3,2,,,,,,,
atlas,0.8.1,com.thinkaurelius.titan.graphdb.query.graph,1,0,Medium,Medium,Medium,Medium,15,0,29,24,338,79,0,0,1,1,,,,,,,
atlas,0.8.1,org.apache.atlas.repository.graphdb.titan0,18,0,Medium,Medium,Medium,Medium,37,4,205,170,1646,277,3,3,41,68,,,,,,,
atlas,0.8.1,org.apache.atlas.repository.graphdb.titan1,19,0,Medium,Medium,Medium,Medium,38,4,203,173,1665,274,3,3,44,77,,,,,,,
atlas,0.8.1,org.apache.atlas.repository.graphdb.titan1.graphson,4,0,Medium,Medium,Low,Low,44,24,29,12,502,112,0,0,5,6,,,,,,,
atlas,0.8.1,org.apache.atlas.model.discovery,5,0,Medium,Medium,Low,Low,38,0,118,117,576,143,0,0,25,11,,,,,,,
atlas,0.8.1,org.apache.atlas.model.impexp,5,0,Medium,Medium,Low,Low,45,10,83,82,424,97,0,0,30,10,,,,,,,
atlas,0.8.1,org.apache.atlas.model.legacy,1,0,Medium,Medium,Low,Low,5,3,11,10,47,13,0,0,12,1,,,,,,,
atlas,0.8.1,org.apache.atlas.model.lineage,2,0,Medium,Medium,Low,Low,9,0,33,33,135,39,0,0,11,3,,,,,,,
atlas,0.8.1,org.apache.atlas.model,3,0,Low,Low,Low,Low,44,4,73,69,477,96,0,0,18,14,,,,,,,
atlas,0.8.1,org.apache.atlas.kafka,10,0,Low,Low,Low,Low,32,4,60,45,575,88,1,1,14,25,,,,,,,
atlas,0.8.1,org.apache.atlas.discovery.graph,2,0,Low,Low,Low,Low,10,5,33,29,350,71,0,0,9,28,,,,,,,
atlas,0.8.1,org.apache.atlas.gremlin.optimizer,19,0,Low,Low,Low,Low,51,2,120,89,1037,204,10,10,32,85,,,,,,,
atlas,0.8.1,org.apache.atlas.repository.audit,10,0,Low,Low,Low,Low,29,9,71,42,722,143,5,5,18,28,,,,,,,
atlas,0.8.1,org.apache.atlas.repository.converters,14,0,Low,Low,Low,Low,15,1,81,56,1089,227,9,19,47,129,,,,,,,
atlas,0.8.1,org.apache.atlas.repository.impexp,26,0,Low,Low,Low,Low,101,1,283,175,2357,473,3,3,47,152,,,,,,,
atlas,0.8.1,org.apache.atlas.repository.memory,25,0,Low,Low,Low,Low,43,1,231,53,1347,325,22,50,27,98,,,,,,,
atlas,0.8.1,org.apache.atlas.repository.store.bootstrap,7,0,Low,Low,Low,Low,25,0,62,52,690,162,3,3,19,42,,,,,,,
atlas,0.8.1,org.apache.atlas.repository.typestore,11,0,Low,Low,Low,Low,37,2,89,54,868,172,3,3,25,55,,,,,,,
atlas,0.8.1,org.apache.atlas.setup,2,0,Low,Low,Low,Low,0,0,3,2,14,3,0,0,1,0,,,,,,,
atlas,0.8.1,org.apache.atlas.typesystem.types.cache,3,0,Low,Low,Low,Low,14,0,55,36,477,77,1,1,6,13,,,,,,,
atlas,0.8.1,org.apache.atlas.examples,4,0,Low,Low,Very Low,Very Low,71,62,70,14,755,93,0,0,5,39,,,,,,,
atlas,0.8.1,org.apache.atlas.web.errors,4,0,Low,Low,Very Low,Very Low,2,0,7,3,53,9,0,0,4,7,,,,,,,
atlas,0.8.1,org.apache.atlas.web.listeners,2,0,Low,Low,Very Low,Very Low,6,4,15,3,160,21,0,0,2,3,,,,,,,
atlas,0.8.1,org.apache.atlas.web.params,3,0,Low,Low,Very Low,Very Low,1,0,15,6,108,19,2,2,1,1,,,,,,,
atlas,0.8.1,org.apache.atlas.web.rest,4,0,Low,Low,Very Low,Very Low,13,1,49,42,813,101,0,0,4,29,,,,,,,
atlas,0.8.1,org.apache.atlas.web.setup,4,0,Low,Low,Very Low,Very Low,10,1,23,13,296,27,0,0,2,14,,,,,,,
atlas,0.8.1,org.apache.atlas.web.util,4,0,Low,Low,Very Low,Very Low,13,3,26,21,291,57,0,0,24,17,,,,,,,
atlas,0.8.1,org.apache.atlas.web.adapters,2,0,Low,Low,Very Low,Very Low,13,0,24,18,329,41,0,0,2,32,,,,,,,
atlas,0.8.1,org.apache.atlas.web.integration,12,0,Low,Low,Very Low,Very Low,51,6,173,116,2578,251,9,10,5,95,,,,,,,
atlas,0.8.2,org.apache.atlas.hbase.bridge,1,0,High,High,High,Very High,36,18,40,19,638,118,0,0,4,7,,Packages(2): org.apache.atlas.hbase.model;org.apache.atlas.hbase.bridge,,,,,
atlas,0.8.2,org.apache.atlas.hive.bridge,7,0,High,High,Very High,High,47,34,66,38,831,110,0,0,17,25,,Packages(2): org.apache.atlas.hive.bridge;org.apache.atlas.hive.hook,,LCC: 0.43,,,Packages(1): org.apache.atlas.hive.hook
atlas,0.8.2,org.apache.atlas.hive.hook,5,83,Medium,High,High,Very High,50,7,201,116,2321,376,0,0,6,19,,,,,,,Packages(1): org.apache.atlas.hive
atlas,0.8.2,org.apache.atlas.authorize,4,0,High,High,Very High,High,15,0,25,22,152,34,0,0,11,6,,Packages(2): org.apache.atlas.authorize;org.apache.atlas.authorize.simple,,,,,Packages(1): org.apache.atlas.authorize.simple
atlas,0.8.2,org.apache.atlas.authorize.simple,10,0,Medium,High,High,High,37,10,44,33,1051,181,0,0,16,20,,,,LCC: 0.2,,,
atlas,0.8.2,org.apache.atlas.catalog,37,0,High,High,Very High,High,52,6,221,156,2895,282,20,29,149,130,,,,,classes: 37,,Packages(4): org.apache.atlas.catalog.query;org.apache.atlas.services;org.apache.atlas.repository.converters;org.apache.atlas
atlas,0.8.2,org.apache.atlas.catalog.definition,10,0,Medium,High,High,High,11,1,100,78,826,134,5,9,36,34,,,,,,,Packages(2): org.apache.atlas.catalog;org.apache.atlas.catalog.projection
atlas,0.8.2,org.apache.atlas.catalog.exception,6,0,Medium,High,High,High,5,0,11,11,70,11,4,4,4,0,,,,LCC: 0.33,,,
atlas,0.8.2,org.apache.atlas.catalog.query,23,0,Medium,High,High,High,36,1,135,75,1121,179,15,29,61,98,,,,,,,Packages(1): org.apache.atlas.repository.graph
atlas,0.8.2,org.apache.atlas,49,80,High,High,Very High,Very High,363,233,597,452,5073,763,7,7,329,262,,Packages(5): org.apache.atlas.repository.graph;org.apache.atlas.util;org.apache.atlas.repository.store.graph.v1;org.apache.atlas.discovery;org.apache.atlas,,,classes: 49,,Packages(13): org.apache.atlas.model;org.apache.atlas.services;org.apache.atlas.repository.store.graph.v1;org.apache.atlas.repository.graph;org.apache.atlas.repository.typestore;org.apache.atlas.repository.impexp;org.apache.atlas.util;org.apache.atlas.repository.store.graph;org.apache.atlas.discovery.graph;org.apache.atlas.discovery;org.apache.atlas.repository.audit;org.apache.atlas.service;org.apache.atlas.web.service
