Project,Release,Package,Classes,Refactoring-LOC,Smells-Rank-3,Efforts-Rank-3,Smells-Rank-5,Efforts-Rank-5,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,FANIN,FANOUT,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency
batik,1.5.1,org.apache.batik.script.jacl,2,0,Low,Low,Low,Low,1,0,12,12,80,13,0,0,1,1,,,,,,,
batik,1.5.1,org.apache.batik.script.jpython,2,0,Low,Low,Low,Low,1,0,12,12,71,13,0,0,1,1,,,,,,,
batik,1.5.1,org.apache.batik.script.rhino,24,0,Low,Low,Low,Low,81,2,156,131,1574,240,3,3,34,43,,,,,,,
batik,1.5.1,org.apache.batik.svggen.font,5,0,Low,Low,Low,Low,38,12,50,31,635,109,0,0,9,35,,,,,,,
batik,1.5.1,org.apache.batik.transcoder.image.resources,1,0,Low,Low,Low,Low,2,0,4,3,38,4,0,0,0,1,,,,,,,
batik,1.5.1,org.apache.batik.transcoder.print,1,0,Low,Low,Low,Low,35,32,11,10,296,36,0,0,3,6,,,,,,,
batik,1.5.1,org.apache.batik.transcoder.wmf.tosvg,7,0,Low,Low,Low,Low,49,18,65,52,1397,254,1,1,13,20,,,,,,,
batik,1.5.1,org.apache.batik.transcoder.wmf,1,0,Low,Low,Low,Low,93,93,0,0,100,0,0,0,3,0,,,,,,,
batik,1.5.1,org.apache.batik.util.gui.resource,11,0,Low,Low,Low,Low,30,0,45,37,841,107,3,3,44,12,,,,,,,
batik,1.5.1,org.apache.batik.util.io,17,0,Low,Low,Very Low,Very Low,25,0,54,43,753,106,13,17,15,14,,,,,,,
batik,1.5.1,org.apache.batik.util.resources,1,0,Low,Low,Very Low,Very Low,2,0,4,3,38,4,0,0,0,1,,,,,,,
batik,1.5.1,org.apache.batik,1,0,Low,Low,Very Low,Very Low,1,1,1,1,24,3,0,0,1,0,,,,,,,
batik,1.5.1,org.w3c.css.sac,28,0,Low,Low,Very Low,Very Low,86,74,132,105,1500,135,15,20,142,15,,,,,,,
batik,1.5.1,org.w3c.css.sac.helpers,1,0,Low,Low,Very Low,Very Low,0,0,1,1,18,2,0,0,0,0,,,,,,,
batik,1.5.1,org.w3c.dom.smil,1,0,Low,Low,Very Low,Very Low,0,0,4,4,6,4,0,0,0,0,,,,,,,
batik,1.5.1,org.apache.batik.test.util,1,0,Low,Low,Very Low,Very Low,17,13,10,4,229,27,0,0,3,7,,,,,,,
batik,1.5.1,org.apache.batik.test.xml,17,0,Low,Low,Very Low,Very Low,86,27,75,41,1535,222,8,12,18,37,,,,,,,
batik,1.6,org.apache.batik.apps.rasterizer,32,0,High,Medium,High,Medium,211,123,316,253,3243,518,16,28,75,94,,,,,classes: 32,,
batik,1.6,org.apache.batik.apps.svgbrowser,76,3316,High,High,High,Very High,361,151,553,473,7161,1029,7,7,121,249,,,,,classes: 76,,
batik,1.6,org.apache.batik.bridge,197,1942,High,High,Very High,Very High,445,119,1463,1150,21359,3538,139,257,673,1068,,,,,classes: 197,,Packages(1): org.apache.batik.test.svg
batik,1.6,org.apache.batik.css.dom,42,97,High,High,High,High,42,0,478,325,5425,938,27,40,58,83,,,,,classes: 42,,Packages(1): org.apache.batik.css.engine.value.svg
batik,1.6,org.apache.batik.css.engine,34,447,High,High,Very High,Very High,188,114,249,205,3494,545,11,12,220,123,,Packages(2): org.apache.batik.css.engine;org.apache.batik.css.engine.value,,,classes: 34,,Packages(2): org.apache.batik.css.parser;org.apache.batik.css.engine.sac
batik,1.6,org.apache.batik.css.engine.value,39,0,High,Medium,Very High,Medium,203,14,183,137,2561,281,15,28,180,85,,,,LCC: 0.38,classes: 39,,Packages(1): org.apache.batik.css.engine
batik,1.6,org.apache.batik.css.engine.value.css2,17,0,High,Medium,High,Medium,22,0,85,83,1490,269,0,0,1,95,,,,LCC: 0.94,,,
batik,1.6,org.apache.batik.css.engine.value.svg,39,0,High,Medium,High,Medium,468,0,180,166,4063,308,5,6,39,146,,,,,classes: 39,,
batik,1.6,org.apache.batik.css.engine.value.svg12,6,0,Medium,Medium,High,Medium,8,0,22,20,250,35,0,0,4,21,,,,LCC: 0.5,,,
batik,1.6,org.apache.batik.css.parser,40,0,Medium,Medium,High,Medium,143,23,293,232,4760,929,21,24,46,94,,,,,classes: 40,,
batik,1.6,org.apache.batik.dom,57,421,High,High,Very High,High,153,23,537,359,6044,951,36,125,252,145,,Packages(2): org.apache.batik.dom;org.apache.batik.dom.traversal,,,classes: 57,,Packages(4): org.apache.batik.dom.traversal;org.apache.batik.css.engine;org.apache.batik.css.parser;org.apache.batik.dom.svg
batik,1.6,org.apache.batik.dom.svg,277,4038,High,High,High,Very High,371,51,2386,1912,18245,2819,152,394,577,792,,,,,classes: 277,,Packages(3): org.apache.batik.dom.svg12;org.apache.batik.css.parser;org.apache.batik.css.dom
batik,1.6,org.apache.batik.dom.util,20,356,High,High,High,High,69,43,133,116,1883,300,5,5,136,27,,,,LCC: 0.2,,,Packages(1): org.apache.batik.xml
batik,1.6,org.apache.batik.ext.awt,14,0,High,Medium,High,Medium,95,23,67,37,2244,309,4,4,31,16,,,,LCC: 0.43,,,Packages(1): org.apache.batik.ext.awt.image
batik,1.6,org.apache.batik.ext.awt.geom,22,0,Medium,Medium,High,Medium,99,26,286,261,3246,700,8,10,42,32,,,,LCC: 0.23,,,
batik,1.6,org.apache.batik.ext.awt.image,45,71,High,High,Very High,High,132,71,244,170,3884,672,35,51,161,45,,Packages(2): org.apache.batik.ext.awt.image.rendered;org.apache.batik.ext.awt.image,,,classes: 45,,Packages(2): org.apache.batik.ext.awt.image.rendered;org.apache.batik.ext.awt.image.renderable
batik,1.6,org.apache.batik.ext.awt.image.codec,32,0,Medium,Medium,High,Medium,386,39,443,351,6530,1119,16,25,72,53,,,,,classes: 32,,
batik,1.6,org.apache.batik.ext.awt.image.renderable,45,0,High,Medium,High,Medium,83,13,440,417,4125,700,65,85,120,120,,,,,classes: 45,,Packages(1): org.apache.batik.ext.awt.image.rendered
batik,1.6,org.apache.batik.ext.awt.image.rendered,48,493,Medium,High,Medium,Very High,218,8,370,271,7431,1400,33,58,131,131,,,,,classes: 48,,
batik,1.6,org.apache.batik.ext.awt.image.spi,15,0,Medium,Medium,Medium,Medium,53,9,72,64,1024,179,13,18,26,50,,,,,,,Packages(1): org.apache.batik.ext.awt.image.codec.tiff
batik,1.6,org.apache.batik.extension.svg,42,6,Medium,Medium,Medium,High,118,54,244,195,2895,482,18,18,68,141,,,,,classes: 42,,
batik,1.6,org.apache.batik.gvt,31,0,High,Medium,Very High,Medium,145,36,400,291,4910,935,15,25,207,73,,Packages(2): org.apache.batik.gvt.renderer;org.apache.batik.gvt,,,classes: 31,,Packages(6): org.apache.batik.ext.awt.image.renderable;org.apache.batik.gvt.filter;org.apache.batik.ext.awt.geom;org.apache.batik.gvt.text;org.apache.batik.gvt.renderer;org.apache.batik.swing
batik,1.6,org.apache.batik.gvt.event,18,0,Medium,Medium,Medium,Medium,64,26,117,78,1198,168,10,12,44,23,,,,,,,Packages(1): org.apache.batik.gvt
batik,1.6,org.apache.batik.gvt.filter,8,0,Medium,Medium,Medium,Medium,14,0,47,43,623,117,3,3,3,26,,,,LCC: 0.5,,,
batik,1.6,org.apache.batik.gvt.font,21,0,Medium,Medium,Medium,Medium,125,10,267,228,3247,565,6,6,74,40,,,,,,,Packages(1): org.apache.batik.gvt.text
batik,1.6,org.apache.batik.gvt.renderer,13,0,Medium,Medium,Medium,Medium,66,23,101,79,1840,326,7,11,19,44,,,,LCC: 0.23,,,
batik,1.6,org.apache.batik.gvt.text,17,0,Medium,Medium,Medium,Medium,193,132,223,194,3879,735,4,4,94,34,,,,LCC: 0.29,,,Packages(1): org.apache.batik.ext.awt.geom
batik,1.6,org.apache.batik.parser,51,1156,High,High,High,Very High,62,17,505,319,6935,1490,37,55,80,61,,,,,classes: 51,,Packages(2): org.apache.batik.util.io;org.apache.batik.xml
batik,1.6,org.apache.batik.script,7,0,Medium,Medium,Medium,Medium,9,1,39,18,336,43,0,0,20,4,,,,LCC: 0.43,,,
batik,1.6,org.apache.batik.svggen,136,0,Medium,Medium,Medium,Medium,364,163,594,487,8749,1094,119,169,256,313,,,,,classes: 136,,
batik,1.6,org.apache.batik.svggen.font.table,67,0,Medium,Medium,Medium,Medium,457,177,328,277,2923,539,38,39,121,95,,,,,classes: 67,,
batik,1.6,org.apache.batik.swing.gvt,22,22,Medium,Medium,Medium,High,91,3,233,181,2602,413,13,22,36,43,,,,,,,Packages(1): org.apache.batik.gvt.renderer
batik,1.6,org.apache.batik.swing,41,359,High,High,High,High,130,21,316,295,2880,509,17,27,61,114,,,,,classes: 41,,Packages(1): org.apache.batik.bridge
batik,1.6,org.apache.batik.swing.svg,53,48,High,High,Very High,High,173,5,563,474,5872,1107,8,7,73,123,,,,LCC: 0.49,classes: 53,,Packages(1): org.apache.batik.bridge
batik,1.6,org.apache.batik.transcoder,15,33,Medium,High,Medium,High,48,22,123,95,1429,186,6,10,83,48,,,,,,,Packages(2): org.apache.batik.bridge;org.apache.batik.dom.svg
batik,1.6,org.apache.batik.transcoder.image,24,57,Medium,High,Medium,High,60,10,110,55,1689,165,19,19,44,67,,,,,,,Packages(1): org.apache.batik.test.svg
batik,1.6,org.apache.batik.transcoder.keys,8,0,Medium,Medium,Medium,Medium,0,0,8,8,80,8,0,0,0,8,,,,LCC: 1.0,,,
batik,1.6,org.apache.batik.transcoder.print,1,0,Medium,Medium,Medium,Medium,36,32,13,10,321,41,0,0,3,7,,,,,,,Packages(1): org.apache.batik.bridge
batik,1.6,org.apache.batik.transcoder.svg2svg,9,0,Medium,Medium,Medium,Medium,67,40,77,60,2493,459,0,0,19,22,,,,LCC: 0.33,,,
batik,1.6,org.apache.batik.util,60,98,High,High,Very High,High,1227,106,350,288,6313,861,15,21,437,87,,,,LCC: 0.22,classes: 60,,Packages(1): org.apache.batik.test
batik,1.6,org.apache.batik.util.gui,57,0,High,Medium,High,Medium,236,22,307,267,4930,497,2,2,106,110,,,,LCC: 0.21,classes: 57,,
batik,1.6,org.apache.batik.xml,6,0,Medium,Medium,Medium,Medium,100,24,72,40,2423,531,1,1,12,8,,,,,,,Packages(1): org.apache.batik.util.io
batik,1.6,org.w3c.dom.svg,161,0,Medium,Medium,Medium,Medium,149,149,633,633,1115,633,282,162,130,16,,,,,classes: 161,,
batik,1.6,org.apache.batik.test,32,0,Medium,Medium,Medium,Medium,91,35,160,150,1636,241,21,37,127,62,,,,,classes: 32,,
batik,1.6,org.apache.batik.test.svg,37,0,Medium,Medium,Medium,Medium,157,92,192,130,2389,318,17,44,58,110,,,,,classes: 37,,
batik,1.6,org.apache.tools.ant.taskdefs.optional,4,0,Medium,Medium,Medium,Medium,21,0,37,28,568,77,0,0,3,9,,,,,,,
batik,1.6,com.test.script,1,0,Medium,Medium,Medium,Low,0,0,2,2,20,2,0,0,0,1,,,,,,,
batik,1.6,com.untrusted.script,1,0,Medium,Medium,Medium,Low,6,3,2,2,142,17,0,0,0,1,,,,,,,
batik,1.6,org.apache.batik.apps.slideshow,3,0,Medium,Medium,Medium,Low,19,0,14,14,421,65,0,0,4,14,,,,,,,
batik,1.6,org.apache.batik.apps.svgpp,10,0,Medium,Medium,Medium,Low,10,1,41,35,411,64,8,8,2,15,,,,,,,
batik,1.6,org.apache.batik.apps.ttf2svg,1,0,Medium,Low,Medium,Low,0,0,1,1,10,1,0,0,0,1,,,,,,,
batik,1.6,org.apache.batik.bridge.svg12,5,807,Medium,High,Medium,Very High,22,5,56,31,780,168,0,0,6,54,,,,,,,
batik,1.6,org.apache.batik.css.engine.sac,23,0,Medium,Low,Medium,Low,24,1,146,134,1240,171,19,34,27,43,,,,,,,
batik,1.6,org.apache.batik.dom.events,17,15,Medium,Medium,Medium,High,231,189,76,61,1068,108,10,12,27,20,,,,,,,
batik,1.6,org.apache.batik.dom.svg12,25,4,Medium,Medium,Medium,Medium,2,0,101,77,771,106,0,0,37,72,,,,,,,
batik,1.6,org.apache.batik.dom.traversal,3,0,Medium,Low,Medium,Low,17,0,36,28,633,128,0,0,3,4,,,,,,,
batik,1.6,org.apache.batik.ext.awt.color,2,0,Medium,Low,Low,Low,8,5,13,13,121,24,0,0,9,2,,,,,,,
batik,1.6,org.apache.batik.ext.awt.font,1,0,Medium,Low,Low,Low,5,5,3,3,102,10,0,0,1,2,,,,,,,
batik,1.6,org.apache.batik.ext.awt.g2d,5,0,Medium,Low,Low,Low,35,15,138,128,1582,172,1,1,30,8,,,,,,,
batik,1.6,org.apache.batik.ext.awt.image.codec.tiff,9,4,Medium,Medium,Low,Medium,180,56,135,89,4133,781,0,0,21,22,,,,,,,
batik,1.6,org.apache.batik.ext.swing,13,0,Low,Low,Low,Low,79,52,61,55,770,89,4,5,18,18,,,,,,,
batik,1.6,org.apache.batik.extension,3,204,Low,High,Low,High,3,0,19,14,176,25,2,3,0,6,,,,,,,
batik,1.6,org.apache.batik.gvt.flow,14,437,Low,High,Low,Very High,128,53,111,100,1426,305,0,0,23,40,,,,,,,
batik,1.6,org.apache.batik.gvt.svg12,1,0,Low,Low,Low,Low,7,0,8,8,136,23,0,0,0,3,,,,,,,
batik,1.6,org.apache.batik.i18n,4,0,Low,Low,Low,Low,8,1,20,12,218,31,2,2,37,3,,,,,,,
batik,1.6,org.apache.batik.script.jacl,2,0,Low,Low,Low,Low,2,0,13,13,87,14,0,0,1,1,,,,,,,
batik,1.6,org.apache.batik.script.jpython,2,0,Low,Low,Low,Low,2,0,13,13,78,14,0,0,1,1,,,,,,,
batik,1.6,org.apache.batik.script.rhino,24,22,Low,Medium,Low,High,82,2,161,136,1637,251,3,3,34,43,,,,,,,
batik,1.6,org.apache.batik.svggen.font,5,0,Low,Low,Low,Low,41,13,50,31,647,113,0,0,9,35,,,,,,,
batik,1.6,org.apache.batik.transcoder.image.resources,1,0,Low,Low,Low,Very Low,2,0,4,3,38,4,0,0,0,1,,,,,,,
batik,1.6,org.apache.batik.transcoder.wmf.tosvg,7,77,Low,High,Low,High,49,18,65,52,1400,254,1,1,13,20,,,,,,,
batik,1.6,org.apache.batik.transcoder.wmf,1,0,Low,Low,Low,Very Low,93,93,0,0,100,0,0,0,3,0,,,,,,,
batik,1.6,org.apache.batik.util.gui.resource,11,195,Low,High,Very Low,High,30,0,45,37,845,107,3,3,44,12,,,,,,,
batik,1.6,org.apache.batik.util.io,17,0,Low,Low,Very Low,Very Low,25,0,54,43,753,106,13,17,15,14,,,,,,,
batik,1.6,org.apache.batik.util.resources,1,5,Low,Medium,Very Low,Medium,2,0,4,3,38,4,0,0,0,1,,,,,,,
batik,1.6,org.apache.batik,1,0,Low,Low,Very Low,Very Low,1,1,1,1,24,3,0,0,1,0,,,,,,,
batik,1.6,org.w3c.css.sac,28,0,Low,Low,Very Low,Very Low,86,74,132,105,1498,135,15,20,146,15,,,,,,,
batik,1.6,org.w3c.css.sac.helpers,1,0,Low,Low,Very Low,Very Low,0,0,1,1,18,2,0,0,0,0,,,,,,,
batik,1.6,org.w3c.dom.smil,1,0,Low,Low,Very Low,Very Low,0,0,4,4,6,4,0,0,0,0,,,,,,,
batik,1.6,org.apache.batik.test.util,1,0,Low,Low,Very Low,Very Low,17,13,10,4,229,27,0,0,3,7,,,,,,,
batik,1.6,org.apache.batik.test.xml,17,0,Low,Low,Very Low,Very Low,86,27,75,41,1535,222,8,12,18,37,,,,,,,
batik,1.8,org.apache.batik.anim.dom,298,0,High,High,Very High,Very High,589,19,2720,1922,24332,3516,145,441,872,1191,,Packages(2): org.apache.batik.anim.dom;org.apache.batik.anim.values,,,classes: 298,,Packages(3): org.apache.batik.css.parser;org.apache.batik.anim.timing;org.apache.batik.css.dom
batik,1.8,org.apache.batik.anim.values,23,0,High,High,High,Very High,62,8,213,190,2896,419,22,31,96,72,,,,,,,Packages(2): org.apache.batik.anim.dom;org.apache.batik.dom.svg
batik,1.8,org.apache.batik.apps.rasterizer,33,0,High,High,High,Very High,214,125,328,256,3351,534,17,32,76,97,,,,,classes: 33,,
batik,1.8,org.apache.batik.apps.svgbrowser,163,0,High,High,High,Very High,1294,680,1403,1120,18494,2549,33,47,305,534,,,,,classes: 163,,
batik,1.8,org.apache.batik.bridge,297,0,High,High,Very High,Very High,861,195,2474,1828,34238,5668,199,455,972,1629,,Packages(2): org.apache.batik.bridge;org.apache.batik.bridge.svg12,,,LOC: 34238,,Packages(6): org.apache.batik.gvt.flow;org.apache.batik.css.engine.value.svg12;org.apache.batik.script.rhino;org.apache.batik.anim;org.apache.batik.bridge.svg12;org.apache.batik.test.svg
batik,1.8,org.apache.batik.bridge.svg12,76,0,High,High,High,Very High,195,77,442,303,7584,1223,12,13,139,472,,,,,classes: 76,,
batik,1.8,org.apache.batik.css.dom,43,0,Medium,High,High,Very High,43,0,486,333,5716,949,29,42,57,87,,,,,classes: 43,,Packages(1): org.apache.batik.css.engine.value.svg
batik,1.8,org.apache.batik.css.engine,37,0,High,High,Very High,High,195,115,295,214,3835,590,13,13,243,124,,Packages(2): org.apache.batik.css.engine;org.apache.batik.css.engine.value,,,classes: 37,,Packages(2): org.apache.batik.css.parser;org.apache.batik.css.engine.sac
batik,1.8,org.apache.batik.css.engine.value,39,0,High,High,Very High,High,204,14,188,135,2583,285,15,28,214,78,,,,LCC: 0.38,classes: 39,,Packages(2): org.apache.batik.css.engine;org.apache.batik.css.parser
batik,1.8,org.apache.batik.css.engine.value.css2,17,0,Medium,High,High,High,22,0,136,133,1803,324,0,0,1,102,,,,LCC: 0.94,,,
batik,1.8,org.apache.batik.css.engine.value.svg,39,0,High,High,High,High,469,1,289,265,4768,427,5,6,39,163,,,,,classes: 39,,Packages(1): org.apache.batik.css.engine.value.svg12
batik,1.8,org.apache.batik.css.engine.value.svg12,11,0,Medium,High,High,High,22,7,60,57,606,81,2,2,11,21,,,,LCC: 0.55,,,
batik,1.8,org.apache.batik.css.parser,40,0,Medium,High,High,High,147,27,296,235,4828,943,21,24,47,42,,,,,classes: 40,,
