Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
0.8.2,org.apache.atlas.falcon.bridge,FalconBridge,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; COLO; TAGS; GROUPS; PIPELINES; WFPROPERTIES; RUNSON; STOREDIN; FREQUENCY
0.8.2,org.apache.atlas.falcon.hook,FalconHook,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
0.8.2,org.apache.atlas.falcon.hook,FalconHook,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; CONF_PREFIX; MIN_THREADS; MAX_THREADS; KEEP_ALIVE_TIME; QUEUE_SIZE; CONF_SYNC; HOOK_NUM_RETRIES; WAIT_TIME; executor; minThreadsDefault; maxThreadsDefault; keepAliveTimeDefault; queueSizeDefault; sync; STORE
0.8.2,org.apache.atlas.falcon.hook,FalconHookIT,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; CLUSTER_RESOURCE; FEED_RESOURCE; FEED_HDFS_RESOURCE; FEED_REPLICATION_RESOURCE; PROCESS_RESOURCE; atlasClient; STORE
0.8.2,org.apache.atlas.falcon.service,AtlasService,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; publisher; SERVICE_NAME
0.8.2,org.apache.atlas.falcon.service,AtlasService,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
0.8.2,org.apache.atlas.hbase.bridge,HBaseAtlasHook,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; CONF_PREFIX; HOOK_NUM_RETRIES; QUEUE_SIZE; CONF_SYNC; MIN_THREADS; MAX_THREADS; KEEP_ALIVE_TIME; minThreadsDefault; maxThreadsDefault; queueSizeDefault; keepAliveTimeDefault; WAIT_TIME; sync; executor; HBASE_CLUSTER_NAME; DEFAULT_CLUSTER_NAME; ATTR_DESCRIPTION; ATTR_ATLAS_ENDPOINT; ATTR_COMMENT; ATTR_PARAMETERS; ATTR_URI; ATTR_NAMESPACE; ATTR_TABLE; ATTR_COLUMNFAMILIES; ATTR_CREATE_TIME; ATTR_MODIFIED_TIME; ATTR_OWNER; ATTR_NAME; REFERENCEABLE_ATTRIBUTE_NAME; clusterName; me; name; hbaseOperationContext; hbaseOperationContext; hbaseOperationContext
0.8.2,org.apache.atlas.hbase.bridge,HBaseAtlasHook,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: HBaseOperationContext; HBaseAtlasHook
0.8.2,org.apache.atlas.hbase.bridge,HBaseAtlasHook,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 40 methods
0.8.2,org.apache.atlas.hbase.hook,HBaseAtlasCoprocessor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
