httpcomponents-core,4.3,1.1,40.8,2.8
httpcomponents-core,4.1.1,0.0,12.8,0.1
httpcomponents-core,4.2.5,0.6,8.0,7.3
httpcomponents-core,4.4.1,0.8,3.2,24.3
httpcomponents-core,4.4.4,0.9,4.6,19.3
httpcomponents-core,4.3.1,0.1,2.9,2.2
httpcomponents-core,4.4.7,0.0,1.8,1.8
httpcomponents-core,4.1.2,0.2,8.1,2.4
httpcomponents-core,4.4.2,0.5,8.4,5.6
httpcomponents-core,4.4.6,0.1,1.8,4.5
commons-jxpath,,0.2,12.5,1.4
commons-jxpath,10.01,35.5,274.2,12.9
commons-jxpath,1.3,0.2,24.4,1.0
commons-net,1.4.0,13.8,463.3,3.0
commons-net,3.6,0.5,6.4,7.6
commons-net,3.4,1.6,24.0,6.7
commons-net,3.1,0.3,12.0,2.4
commons-net,2.1,0.1,29.1,0.5
commons-net,2.0,0.4,32.6,1.1
commons-net,3.0,1.5,35.6,4.2
commons-net,1.5.0,0.2,18.2,1.2
commons-net,,0.3,3.8,6.7
commons-ognl,,3.9,262.5,1.5
santuario,1.2.1,35.6,1721.3,2.1
santuario,1.5.5,1.9,9.9,19.5
santuario,2.0.1,0.2,35.6,0.5
santuario,1.5.3,7.0,162.2,4.3
santuario,1.5.4,2.2,17.5,12.4
santuario,1.5.0,2.0,16.1,12.2
santuario,2.1.3,0.9,28.3,3.1
santuario,2.0.6,1.4,6.2,22.0
santuario,2.0.3,0.5,4.2,12.5
santuario,2.0.8,1.0,12.4,8.3
santuario,2.0.0,1.1,12.4,8.7
santuario,2.1.4,0.0,12.5,0.3
santuario,1.4.5,6.8,278.4,2.4
santuario,2.0.11,0.3,10.7,2.4
santuario,2.1.1,0.1,2.5,4.8
santuario,1.5.1,0.1,1.1,13.4
santuario,2.1.0,1.6,49.8,3.2
santuario,2.0.2,0.0,0.8,3.2
santuario,1.4.6,0.4,7.2,4.9
santuario,2.0.7,0.0,25.6,0.0
santuario,1.4.7,0.3,4.6,6.0
santuario,1.5.6,0.0,1.9,1.4
santuario,2.0.4,0.0,3.5,0.1
mina-sshd,1.4.0,6.1,45.8,13.2
mina-sshd,1.1.0,25.7,128.6,20.0
mina-sshd,2.2.0,11.1,78.8,14.1
mina-sshd,1.0.0,46.4,211.6,21.9
mina-sshd,0.10.0,11.1,39.2,28.4
mina-sshd,2.0.0,10.8,40.8,26.4
mina-sshd,0.1.0,1.2,83.7,1.4
mina-sshd,0.3.0,2.5,12.1,20.7
mina-sshd,1.7.0,10.5,27.2,38.5
mina-sshd,2.1.0,6.5,21.8,29.7
mina-sshd,0.4.0,1.3,23.5,5.4
mina-sshd,0.9.0,8.4,57.9,14.5
mina-sshd,1.2.0,8.5,46.5,18.3
mina-sshd,0.14.0,9.2,33.7,27.4
mina-sshd,1.3.0,7.2,43.0,16.7
mina-sshd,0.11.0,1.0,3.8,26.1
mina-sshd,0.7.0,0.9,8.5,10.5
mina-sshd,0.5.0,0.9,5.2,16.9
mina-sshd,1.6.0,0.1,9.3,1.0
mina-sshd,2.3.0,0.4,36.2,1.2
mina-sshd,0.12.0,1.7,9.3,17.8
mina-sshd,0.2.0,0.1,0.6,16.1
mina-sshd,1.5.0,0.3,3.0,11.5
mina-sshd,0.6.0,0.7,6.9,9.6
mina-sshd,0.13.0,0.2,6.9,3.0
mina-sshd,0.8.0,0.2,6.1,2.9
commons-validator,1.3.1,11.0,244.7,4.5
commons-validator,1.5.0,0.2,10.7,2.0
commons-validator,1.4.0,0.2,31.3,0.6
commons-validator,1.4.1,0.4,12.0,3.5
commons-vfs,2.0,1.8,84.9,2.1
commons-vfs,2.2,1.3,38.2,3.3
commons-vfs,2.1,6.1,81.7,7.5
commons-vfs,1.0,28.3,269.9,10.5
commons-vfs,2.3,0.2,17.4,1.1
zookeeper,3.3.2,50.1,925.4,5.4
zookeeper,3.4.2,0.2,1.4,16.3
zookeeper,3.5.2,1.7,12.8,13.7
zookeeper,3.4.6,9.9,64.0,15.4
zookeeper,3.4.14,10.4,124.8,8.3
zookeeper,3.4.11,0.3,9.6,3.5
zookeeper,3.5.4,1.3,6.9,18.5
zookeeper,3.4.10,2.5,25.2,10.1
