atlas,0.8.1,org.apache.atlas.repository.graphdb.titan0,37,19.1
atlas,0.8.1,org.apache.atlas.repository.graphdb.titan1,29,15.0
atlas,0.8.1,org.apache.atlas.repository.impexp,182,94.2
atlas,0.8.1,org.apache.atlas.kafka,37,19.1
atlas,0.8.1,org.apache.atlas.web.resources,28,14.5
atlas,0.8.1,org.apache.atlas.type,267,138.2
atlas,0.8.1,org.apache.atlas,275,142.3
atlas,0.8.1,org.apache.atlas.repository.typestore,3,1.6
atlas,0.8.1,org.apache.atlas.model.legacy,100,51.7
atlas,0.8.1,org.apache.atlas.web.integration,692,358.1
atlas,0.8.1,org.apache.atlas.discovery,240,124.2
atlas,0.8.1,org.apache.atlas.model.impexp,14,7.2
atlas,0.8.1,org.apache.atlas.repository.store.graph,216,111.8
atlas,0.8.1,org.apache.atlas.graph,16,8.3
atlas,0.8.1,org.apache.atlas.notification,5,2.6
atlas,0.8.1,org.apache.atlas.model.discovery,26,13.5
atlas,0.8.1,org.apache.atlas.authorize.simple,29,15.0
atlas,0.8.3,org.apache.atlas.model.impexp,70,36.2
atlas,0.8.3,org.apache.atlas.repository.impexp,912,471.9
atlas,0.8.3,org.apache.atlas.repository.ogm,34,17.6
atlas,0.8.3,org.apache.atlas.web.resources,42,21.7
atlas,0.8.3,org.apache.atlas.type,8,4.1
atlas,0.8.3,org.apache.atlas,80,41.4
atlas,0.8.3,org.apache.atlas.entitytransform,353,182.7
atlas,0.8.3,org.apache.atlas.discovery,45,23.3
atlas,0.8.3,org.apache.atlas.repository.util,73,37.8
atlas,0.8.3,org.apache.atlas.hive.hook,83,42.9
atlas,0.5,org.apache.metadata.types,645,333.7
atlas,0.5,org.apache.hadoop.metadata.bridge,202,104.5
atlas,0.5,org.apache.hadoop.metadata.bridge.hivelineage,2,1.0
atlas,0.5,org.apache.hadoop.metadata.bridge.hivestructure,66,34.2
atlas,0.5,org.apache.hadoop.metadata.hivetypes,275,142.3
atlas,0.5,org.apache.hadoop.metadata.hive.hook,420,217.3
atlas,0.5,org.apache.hadoop.metadata.hive.bridge,204,105.6
atlas,0.5,org.apache.hadoop.metadata.types,191,98.8
atlas,0.5,org.apache.hadoop.metadata.repository.typestore,81,41.9
atlas,0.5,org.apache.hadoop.metadata.discovery.graph,169,87.4
atlas,0.5,org.apache.hadoop.metadata.services,592,306.3
atlas,0.5,org.apache.atlas.typesystem,85,44.0
atlas,0.5,org.apache.hadoop.metadata,920,476.0
atlas,0.5,org.apache.atlas.falcon,72,37.3
atlas,0.5,org.apache.hadoop.metadata.util,100,51.7
atlas,0.5,org.apache.hadoop.metadata.repository.graph,1806,934.5
atlas,0.5,org.apache.hadoop.metadata.discovery,307,158.9
atlas,0.5,org.apache.hadoop.metadata.web.service,225,116.4
atlas,0.5,org.apache.hadoop.metadata.hive,10,5.2
atlas,0.5,org.apache.hadoop.metadata.security,2,1.0
