commons-digester,3.3.0,org.apache.commons.digester3.examples.api.dbinsert,8,4.10,191,98.83,4.19
commons-digester,3.3.0,org.apache.commons.digester3.examples.api.documentmarkup,8,4.10,124,64.16,6.45
commons-digester,3.3.0,org.apache.commons.digester3.examples.plugins.pipeline,10,5.20,161,83.31,6.21
commons-digester,3.3.0,org.apache.commons.digester3.examples.xmlrules.addressbook,8,4.10,219,113.32,3.65
commons-digester,3.3.2,org.apache.commons.digester3.binder,35,18.10,797,412.40,4.39
aurora,0.2.0,com.twitter.nexus,375,194.00,1962,1015.22,19.11
aurora,0.2.0,com.twitter.nexus.executor,1320,683.00,5631,2913.70,23.44
aurora,0.2.0,com.twitter.nexus.scheduler,813,420.70,4143,2143.75,19.62
aurora,0.2.0,com.twitter.nexus.util,13,6.70,243,125.74,5.35
aurora,0.2.0,com.twitter.nexus.scheduler.configuration,2,1.00,33,17.08,6.06
aurora,0.2.0,com.twitter.mesos,95,49.20,1919,992.97,4.95
aurora,0.2.0,com.twitter.mesos.codec,41,21.20,243,125.74,16.87
aurora,0.2.0,com.twitter.mesos.executor,1833,948.50,14743,7628.62,12.43
aurora,0.2.0,com.twitter.mesos.scheduler,9013,4663.70,46676,24152.03,19.31
aurora,0.2.0,com.twitter.mesos.scheduler.configuration,48,24.80,1937,1002.28,2.48
aurora,0.2.0,com.twitter.mesos.scheduler.httphandlers,215,111.20,4027,2083.73,5.34
aurora,0.2.0,com.twitter.mesos.scheduler.persistence,16,8.30,305,157.82,5.25
aurora,0.2.0,com.twitter.mesos.util,14,7.20,330,170.76,4.24
aurora,0.2.0,com.twitter.mesos.scheduler.storage,882,456.40,2961,1532.14,29.79
aurora,0.2.0,com.twitter.mesos.scheduler.storage.db,624,322.90,2268,1173.55,27.51
aurora,0.2.0,com.twitter.mesos.scheduler.storage.stream,120,62.10,213,110.21,56.34
aurora,0.2.0,com.twitter.mesos.migrations.v0_v1,35,18.10,159,82.27,22.01
aurora,0.2.0,com.twitter.mesos.scheduler.log,16,8.30,397,205.42,4.03
aurora,0.2.0,com.twitter.mesos.scheduler.db.testing,22,11.40,175,90.55,12.57
aurora,0.2.0,com.twitter.mesos.scheduler.storage.log,507,262.30,4869,2519.42,10.41
aurora,0.2.0,com.twitter.mesos.scheduler.quota,95,49.20,860,445.00,11.05
aurora,0.2.0,com.twitter.mesos.scheduler.periodic,81,41.90,1119,579.02,7.24
aurora,0.2.0,com.twitter.mesos.scheduler.storage.testing,43,22.20,174,90.03,24.71
aurora,0.2.0,com.twitter.mesos.scheduler.testing,22,11.40,903,467.25,2.44
aurora,0.2.0,com.twitter.mesos.executor.util,86,44.50,88,45.53,97.73
aurora,0.2.0,com.twitter.mesos.auth,39,20.20,349,180.59,11.17
aurora,0.2.0,com.twitter.mesos.scheduler.metadata,93,48.10,389,201.28,23.91
aurora,0.2.0,com.twitter.mesos.scheduler.events,77,39.80,765,395.84,10.07
aurora,0.2.0,com.twitter.mesos.scheduler.storage.mem,315,163.00,2465,1275.49,12.78
aurora,0.2.0,com.twitter.mesos.scheduler.async,1411,730.10,4220,2183.60,33.44
aurora,0.2.0,com.twitter.mesos.scheduler.storage.backup,206,106.60,1125,582.12,18.31
aurora,0.2.0,com.twitter.mesos.scheduler.filter,25,12.90,171,88.48,14.62
aurora,0.2.0,com.twitter.mesos.scheduler.thrift,22,11.40,1129,584.19,1.95
aurora,0.2.0,com.twitter.mesos.scheduler.thrift.auth,58,30.00,398,205.94,14.57
aurora,0.2.0,com.twitter.mesos.scheduler.base,10,5.20,56,28.98,17.86
aurora,0.2.0,com.twitter.mesos.scheduler.app,158,81.80,164,84.86,96.34
aurora,0.2.0,com.twitter.mesos.scheduler.state,113,58.50,287,148.51,39.37
aurora,0.2.0,com.twitter.aurora.scheduler.thrift,118,61.10,2872,1486.09,4.11
aurora,0.2.0,com.twitter.aurora.scheduler.thrift.auth,6,3.10,148,76.58,4.05
aurora,0.2.0,com.twitter.aurora.auth,43,22.20,216,111.77,19.91
aurora,0.2.0,com.twitter.aurora.scheduler,34,17.60,1393,720.79,2.44
aurora,0.2.0,com.twitter.aurora.scheduler.async,705,364.80,1930,998.66,36.53
aurora,0.2.0,com.twitter.aurora.scheduler.base,8,4.10,452,233.88,1.77
aurora,0.2.0,com.twitter.aurora.scheduler.configuration,105,54.30,563,291.32,18.65
aurora,0.2.0,com.twitter.aurora.scheduler.events,11,5.70,223,115.39,4.93
aurora,0.2.0,com.twitter.aurora.scheduler.filter,29,15.00,316,163.51,9.18
aurora,0.2.0,com.twitter.aurora.scheduler.periodic,396,204.90,913,472.42,43.37
aurora,0.2.0,com.twitter.aurora.scheduler.quota,66,34.20,695,359.62,9.50
aurora,0.2.0,com.twitter.aurora.scheduler.state,190,98.30,3630,1878.31,5.23
aurora,0.2.0,com.twitter.aurora.scheduler.storage,200,103.50,977,505.54,20.47
aurora,0.2.0,com.twitter.aurora.scheduler.storage.mem,18,9.30,1298,671.64,1.39
aurora,0.2.0,com.twitter.aurora.scheduler.cron.testing,3,1.60,4,2.07,75.00
aurora,0.3.0,com.twitter.aurora.scheduler.async,195,100.90,570,294.94,34.21
aurora,0.3.0,com.twitter.aurora.scheduler.periodic,38,19.70,101,52.26,37.62
