Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
java,org.apache.cocoon.acting,RequestParamAction,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ServiceableAction
java,org.apache.cocoon.acting,RequestParameterExistsAction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,org.apache.cocoon.acting,RequestParameterExistsAction,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractConfigurableAction
java,org.apache.cocoon.acting,ResourceExistsAction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,org.apache.cocoon.acting,ResourceExistsAction,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ServiceableAction
java,org.apache.cocoon.acting,ServiceableAction,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractAction
java,org.apache.cocoon.acting,SessionInvalidatorAction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,org.apache.cocoon.acting,SessionInvalidatorAction,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractAction
java,org.apache.cocoon.acting,SessionIsValidAction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,org.apache.cocoon.acting,SessionIsValidAction,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractAction
java,org.apache.cocoon.acting,SessionPropagatorAction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,org.apache.cocoon.acting,SessionPropagatorAction,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: key; value; defaults
java,org.apache.cocoon.acting,Entry,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,org.apache.cocoon.acting,Entry,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: key; value
java,org.apache.cocoon.acting,SessionStateAction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,org.apache.cocoon.acting,SessionValidatorAction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,org.apache.cocoon.acting,SetCharacterEncodingAction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,org.apache.cocoon.acting,SetCharacterEncodingAction,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ServiceableAction
java,org.apache.cocoon.acting,SetterAction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,org.apache.cocoon.acting,SetterAction,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: MODE_OBJECT_MODEL; MODE_REQUEST_ATTR; MODE_SESSION_ATTR; MODEDEF_OBJECT_MODEL; MODEDEF_REQUEST_ATTR; MODEDEF_SESSION_ATTR; mode
java,org.apache.cocoon.acting,SetterAction,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractAction
java,org.apache.cocoon.acting,ValidatorActionResult,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: OK; NOTPRESENT; ERROR; ISNULL; TOOSMALL; TOOLARGE; NOMATCH; MAXERROR
java,org.apache.cocoon.bean,CocoonBean,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 34 public methods
java,org.apache.cocoon.bean,CocoonWrapper,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 33 methods
java,org.apache.cocoon.bean,Target,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 29 public methods
java,org.apache.cocoon.bean.helpers,AntDelegate,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,org.apache.cocoon.bean.helpers,BeanConfigurator,Insufficient Modularization,The tool detected the smell in this class because the class is highly complex. The sum of cyclomatic complexity of all methods of this class (i.e. WMC) is: 101
java,org.apache.cocoon.caching,Cacheable,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java,org.apache.cocoon.caching,CacheableProcessingComponent,Wide Hierarchy,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: CalendarGenerator; DirectoryGenerator; FileGenerator; FragmentExtractorGenerator; JXTemplateGenerator; TraversableGenerator; ResourceReader; AbstractTextSerializer; ContentAggregator; LinkGatherer; LinkTranslator; CIncludeTransformer; FilterTransformer; FragmentExtractorTransformer; I18nTransformer; IncludeTransformer; RoleFilterTransformer; TraxTransformer; XIncludeTransformer; Paginator
java,org.apache.cocoon.caching,ComponentCacheKey,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ComponentType_Generator; ComponentType_Transformer; ComponentType_Serializer; ComponentType_Reader; COMPONENTS; type; identifier; key; hashCode; cachePoint; toString
java,org.apache.cocoon.caching,SourceCacheValidity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
